id,StageName,Opportunity_Origin__c,DNB_Scoring_Rate__c,Current_Balance__c,Applicant_Type__c,Opp_number__C,Multiple_Lenders_Hardship__c,income_as_a_of_DP200_income__c,Deposit_spent_on_DOD__c,DP_Monthly_avg_of_SACC_repayments__c,Monthly_ongoing_financial_commitments__c,DP_Primary_income_frequency__c,DP_Primary_income_last_pay_date__c,DP_enders_with_uncleared_dishonours_233__c,Primary_regular_benefit_frequency__c,Last_pay_date_for_largest_inc_src_302__c,Largest_income_source_day_of_week__c,Next_pay_date_for_largest_income_source__c,Frequency_for_largest_income_source__c,Primary_regular_benefit_last_pay_date__c,loan_dishonours__c,Primary_regular_benefit_monthly_amount__c,Courts_and_Fines_transactions__c,Total_monthly_income_ongoin_Reg_231__c,DP_Total_Monthly_Benefit_Income__c,DP_Dishonours_Across_Primary_Acct_244__c,DP_No_Direct_Debits_On_Primary_Acct_355__c,DP_Budget_Management_Services__c,Hardship_Indicator_Gambling__c,DP_Monthly_rent_amount_236__c,Amount_of_SACC_commitments_due__c,Largest_income_Src_Avg_freq__c,Largest_income_Src_last_payment_amt__c,Deposits_since_last_SACC_dishonour__c,SACC_commitments_due_next_month__c,Total_monthly_credits__c,agency_collection_providers__c,Collection_agency_transactions__c,Average_monthly_amount_of_Courts_and_Fin__c,Courts_and_Fines_providers__c,income_DP200_spend_on_high_risk_merch__c,most_recent_loan_has_no_repayments__c,Deposits_since_last_dishonour__c,Income_source_is_other_income_549__c,Bank_Report_Gov_Benefit__c,Income_source_is_a_government_benefit__c,Summary_Income__c,Summary_Expenses__c,Rent_Mortgage__c,Summary_Total__c,Loan_Amount__c,Total_Repayment_Amount__c,Dishonours_203__c,DP_Insolvency_Indicator__c,DP_Days_in_Overdrawn_For_Period__c,Dishonours_For_Last_30_Days_DP907__c,Salary_Gov_Allowances_all_types_2117__c
0062x000009TsUgAAK,Closed Lost,QuickCash,,,New Client-New Loan,2165418,0,0,90.22,0,0,0,,0,0,,0,,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1490,0,0,0,0,0,0,0,0,0,,1000,2000,1521,-2521,1500,1860,13,0,0.044,2,1212.21
0062x00000EcUXgAAN,Closed Lost,Financier-2,,,Existing Client-Granted Loan Before,6360430,27.08,16.18,43.67,283,277.0566,0,,0,1,14-08-2023,5,21-08-2023,1,14-08-2023,0,1994.1987,0,1994.1987,1278,2,37,0,0,0,0,524.502,624.8,0,0,7894,0,0,0,0,0,0,0,0,1,1,2166.67,400,0,1766.67,1500,1920,0,0,0.956,0,3068.5633
0062x00000EcVPeAAN,Closed Lost,QuickCash,,,Existing Client-No Loan Granted Ever,6361128,17.93,0,38.88,0,1779.375,4,22-08-2023,0,0,22-08-2023,2,,4,,6,0,0,5350,0,2,7,0,1.66,0,0,1605,2400,10,0,5635,0,0,0,0,1.58,0,1,1,0,0,4333.33,400,200,3733.33,1500,1920,6,0,0.1209,4,2783.4733
0062x00000EcXYlAAN,Closed Lost,QuickCash,,,Existing Client-No Loan Granted Ever,6362777,24.81,75.28,65.29,103,429.4144,4,21-08-2023,0,4,22-08-2023,2,,4,22-08-2023,12,1887.1466,0,2053.8132,1913,22,28,0,0.32,0,131.0451,808.7771,689.2,0,5.16,2541,1,7,0,0,0.24,0,0,0,1,1,1798.33,400,230,1168.33,1500,1920,1,0,0.033,0,5366.4
0062x00000DZ1wQAAT,Bad Debt Watch,QuickCash,,1022.86,Existing Client-Granted Loan Before,5067326,31.72,16.77,96.85,570,1542.2958,1,13-04-2023,0,2,13-04-2023,3,20-04-2023,1,05-04-2023,0,1730.3424,1,7970.5395,1593,0,36,0,0,0,0,1054.7369,946.9,13,0,9497,1,13,53,1,0,0,13,0,0,0,1861.17,400,100,1361.17,1500,1920,0,0,0,0,2921.22
0062x00000EcYnHAAV,Closed Lost,MoneySpot,,,New Client-New Loan,6363641,0.22,0,35.17,0,0,1,24-08-2023,0,0,24-08-2023,4,31-08-2023,1,,0,0,0,3031.7417,0,0,0,0,0.49,0,0,697.7162,881.46,8,0,1877,0,0,0,0,0.8,0,8,0,0,0,0,0,900,-900,1500,1920,3,0,0,0,2300.9233
0062x00000EcX21AAF,Closed Lost,MoneySpot,,,New Client-New Loan,6362387,0,0,93.05,0,0,0,,1,0,,0,,0,,1,0,0,500,0,0,1,0,0,0,0,0,0,0,0,3099,0,0,0,0,0,0,0,0,0,0,0,0,1200,-1200,1500,1920,0,0,0,0,6008.1133
0062x00000EDXnYAAX,Closed Lost,QuickCash,,,New Client-New Loan,5950193,0,0,80.26,0,0,0,,0,0,,0,,0,,0,0,0,0,0,19,4,0,0,0,0,0,0,0,0,2013,0,0,0,0,16.79,0,0,0,0,0,1516.67,400,680,436.67,1500,1920,0,0,0.011,0,5604.7866
0062x00000EDYuLAAX,Closed Lost,MoneySpot,,,New Client-New Loan,5950937,13.95,0,14.75,0,628.2351,1,11-07-2023,0,0,11-07-2023,2,18-07-2023,1,,1,0,2,4401.4019,0,2,1,0,0,0,0,986.8433,742.46,12,0,4307,0,0,84,1,0,0,8,1,0,0,0,0,0,0,1500,1920,0,0,0.8132,0,0
0062x00000E5QfVAAV,Closed Lost,QuickCash,,,Existing Client-No Loan Granted Ever,5653211,27.03,40.99,47.18,0,203.4333,0,,0,2,29-05-2023,1,12-06-2023,2,29-05-2023,0,898.706,4,898.706,831,0,0,0,0,0,0,413.652,424.76,0,0,2027,1,1,93,1,0,0,0,0,1,1,1733.33,400,500,833.33,1500,1920,0,0,0.022,0,235.48
0062x00000E5RE2AAN,Closed Lost,QuickCash,,,Existing Client-No Loan Granted Ever,5653693,185.06,0,62.48,55,265.2667,1,12-06-2023,4,0,12-06-2023,1,19-06-2023,1,,20,0,0,209.7926,0,20,22,1,0,0,239.3792,40,40,0,113.99,210,1,4,0,0,0,0,0,1,0,0,1280,2000,100,-820,1500,1920,6,0,0.044,1,0
0062x00000DHxVKAA1,Bad Debt Written Off,MoneySpot,,0,Existing Client-Granted Loan Before,4809362,82.5,0,86.23,1296,3217.93,3,14-02-2023,2,0,14-02-2023,2,,3,,6,0,3,5459,0,11,29,0,20.04,0,1007.7204,5459,5459,1,14.22,5654,1,1,81,2,19.35,1,0,0,0,,0,899,2000,-2899,1500,1920,6,0,0.3736,4,2729.6666
0062x00000DtXtlAAF,Closed Lost,MoneySpot,,,Existing Client-No Loan Granted Ever,5323266,56.61,0,95.89,635,2125.167,2,18-05-2023,0,0,18-05-2023,4,01-06-2023,2,,0,0,0,4863.7729,0,15,15,0,0.05,0,455.8589,1775.0585,1792.47,7,8.85,5150,0,0,0,0,0.04,0,1,0,0,0,0,0,400,-400,1500,1920,0,0,0.3077,0,5642.5233
0062x00000DtYXSAA3,Closed Lost,QuickCash,,,Existing Client-No Loan Granted Ever,5323816,0,88.81,96.15,0,0,2,19-05-2023,0,2,13-05-2023,6,27-05-2023,2,13-05-2023,0,1912.0007,20,4192.8065,4096,4,16,0,0,0,0,880.0442,914.14,7,0,4612,0,0,92,1,0,0,1,0,1,1,0,2000,1460,-3460,1500,1920,0,0,0.011,0,4054.02
0062x00000DtYpGAAV,Closed Lost,Financier-2,,,Existing Client-Granted Loan Before,5324071,82.95,97.91,72.21,117,497.3267,0,,2,4,08-05-2023,1,,4,08-05-2023,14,850.6333,0,2572.255,2530,6,12,0,0,0,0,364.5571,347,1,0,2584,0,0,0,0,0,0,1,0,1,1,3250,599,340,2311,1500,1920,2,0,0.1099,2,0
0062x00000DtZMUAA3,Closed Lost,MoneySpot,,,Existing Client-No Loan Granted Ever,5324552,1041.42,0,49.73,842,1024.5766,2,18-05-2023,0,0,18-05-2023,4,01-06-2023,2,,1,0,13,2968.8291,0,2,52,0,0,0,0,100,150,3,20.44,4819,1,13,347,1,0,0,3,1,0,0,4680.33,899,900,2881.33,1500,1920,0,0,0.011,0,5574.7933
0062x00000DtYpfAAF,Closed Lost,MoneySpot,,,Existing Client-No Loan Granted Ever,5324076,4.5,0,60.2,0,140,1,16-05-2023,0,0,16-05-2023,2,23-05-2023,1,,0,0,0,7333.5289,0,7,7,0,11.2,0,0,1429.5333,1458.2,9,0,9411,1,4,0,0,3.7,0,0,0,0,0,0,400,500,-900,1500,1920,0,0,0.2747,0,5324.61
0062x00000DtZeiAAF,Closed Lost,QuickCash,,,New Client-New Loan,5324818,0,0,68.26,0,0,1,18-05-2023,0,0,18-05-2023,4,25-05-2023,1,,0,0,0,4443.44,0,1,1,0,0,0,0,1022.6,1202,5,0,1780,0,0,0,0,0,0,2,0,0,0,5200,400,880,3920,1500,1920,0,0,0,0,4199.4166
0062x00000DtZgeAAF,Closed Lost,QuickCash,,,New Client-New Loan,5324852,0,0,15.99,0,0,1,18-05-2023,0,0,18-05-2023,4,25-05-2023,1,,0,0,0,4901.4183,0,0,1,0,0,0,0,1071.4041,845.18,12,0,4532,0,0,0,0,0,0,12,0,0,0,0,2000,0,-2000,1500,1920,7,0,0.011,0,0
0062x00000DtZ0GAAV,Closed Lost,MoneySpot,,,New Client-New Loan,5324642,151.38,0,66.55,810,4646.1622,1,16-05-2023,0,0,16-05-2023,2,23-05-2023,1,,6,0,0,6196.7876,0,12,0,0,0,0,306.603,773.6637,989.69,7,9.74,7651,1,13,0,0,0,0,7,1,0,0,0,0,0,0,1500,1920,0,0,0,0,3811.4033
0062x00000DtZz8AAF,Closed Lost,MoneySpot,,,New Client-New Loan,5325128,99.7,39.78,40.91,0,102.9333,2,09-05-2023,0,4,09-05-2023,3,23-05-2023,2,27-04-2023,1,746.4666,0,2467.1808,872,4,13,0,1.16,0,0,792,660,5,0,2192,0,0,0,0,0.91,0,4,1,0,0,0,0,100,-100,1500,1920,0,0,0.011,0,6798.6733
0062x00000DtZi6AAF,Closed Lost,QuickCash,,,New Client-New Loan,5324873,92.62,0,85.15,1802,2253.2965,1,11-05-2023,3,0,11-05-2023,4,18-05-2023,1,,16,0,0,3164.1391,0,19,13,0,54.8,0,1934.5748,711.2436,279.98,0,41.96,4610,0,0,0,0,32.15,0,0,0,0,0,120,2000,150,-2030,1500,1920,1,0,0.1429,0,0
0062x00000DtalQAAR,Closed Lost,MoneySpot,,,New Client-New Loan,5325778,8.09,42.1,21.08,0,223.0833,2,16-05-2023,0,4,16-05-2023,2,30-05-2023,2,07-05-2023,0,1326.6733,0,5251.4269,2336,0,1,0,0,0,0,1374.0842,1361.07,7,0,5548,0,0,0,0,0,0,7,0,0,0,0,0,1800,-1800,1500,1920,0,0,0,0,0
0062x00000Dtbf4AAB,Closed Lost,MoneySpot,,,Existing Client-No Loan Granted Ever,5326477,7.69,0,99.35,0,471.1795,1,17-05-2023,0,0,17-05-2023,3,24-05-2023,1,,4,0,0,6259.4889,0,2,1,0,99.93,0,0,1483.1754,997.9,11,0,8200,0,0,0,0,68.72,0,1,0,0,0,0,400,50,-450,1500,1920,29,0,0,5,7308.33
0062x00000DtbsIAAR,Closed Lost,MoneySpot,,,Existing Client-No Loan Granted Ever,5326629,11.94,56.33,93.19,129,43.4502,0,,1,2,16-05-2023,2,30-05-2023,2,16-05-2023,4,1078.4655,0,1910.9696,1935,4,9,0,0,0,43.4524,496.39,504,0,1.26,3435,0,0,0,0,0,0,0,0,1,1,1040,400,100,540,1500,1920,0,0,0.044,0,3963.22
0062x00000Dsx58AAB,Closed Lost,MoneySpot,,,New Client-New Loan,5274658,35.97,0,74.86,0,1194.365,1,10-05-2023,0,0,10-05-2023,3,17-05-2023,1,,0,0,0,2863.6868,0,0,36,0,25.06,0,0,533.6161,536.41,13,0,2928,0,0,0,0,19.84,0,13,0,0,0,0,0,0,0,1500,1920,0,0,0,0,4306.6333
0062x00000Dt5aSAAR,Closed Lost,MoneySpot,,,New Client-New Loan,5286085,95.41,0,79.74,0,1912.7391,1,15-05-2023,0,0,15-05-2023,1,22-05-2023,1,,0,0,0,10355.2391,0,0,0,0,202.95,0,0,454.1538,485,13,0,18721,0,0,0,0,21.39,0,13,0,0,0,0,0,0,0,1500,1920,4,0,0.2967,2,8762.9866
0062x00000DtcgOAAR,Closed Lost,QuickCash,,,New Client-New Loan,5327214,14.68,0,91.24,264,221.9899,2,04-05-2023,0,0,04-05-2023,4,18-05-2023,2,,0,0,4,5261.9616,0,0,12,0,0,0,669.1667,2421.945,2471.82,6,11.26,5941,0,0,100,2,0,0,6,0,0,0,2400,2000,800,-400,1500,1920,0,0,0,0,4630.2266
0062x00000DZQuGAAX,Closed Lost,MoneySpot,,,New Client-New Loan,5092908,0,0,26.62,0,542.5573,0,,0,0,,0,,0,,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2967,0,0,0,0,0.1,0,0,0,0,0,0,0,360,-360,1500,1920,5,0,0.3297,1,5800.8333
0062x00000DZRgOAAX,Closed Lost,MoneySpot,,,Existing Client-No Loan Granted Ever,5093470,6.25,0,60.69,0,0,2,12-04-2023,0,0,12-04-2023,3,26-04-2023,2,,0,0,2,7473.0001,0,0,10,0,6.72,0,0,3436.56,3436.56,6,0,6980,2,7,19,1,7.19,0,6,0,0,0,7445.88,400,200,6845.88,1500,1920,0,0,0,0,11149.2666
0062x00000DZRY6AAP,Closed Lost,MoneySpot,,,Existing Client-No Loan Granted Ever,5093677,0,40.85,81.99,0,0,1,16-04-2023,0,4,14-04-2023,5,,4,14-04-2023,0,1381.7366,0,1830.8798,1382,0,0,0,9.55,0,0,518.1512,605.8,12,0,3383,0,0,0,0,3.9,0,12,0,1,1,1408.33,400,200,808.33,1500,1920,0,0,0.6923,0,1426.49
0062x00000DZQw2AAH,Closed Lost,QuickCash,,,Existing Client-No Loan Granted Ever,5092930,0,0,23.15,0,0,0,,0,0,,0,,0,,0,0,0,140.3333,0,0,0,0,0,0,0,0,0,0,0,288,0,0,0,0,0,0,0,0,0,0,2600,400,200,2000,1500,1920,2,0,0,0,2556.7766
0062x00000DZS2eAAH,Closed Lost,MoneySpot,,,Existing Client-No Loan Granted Ever,5093722,22.36,86.7,100,0,311.3893,0,,0,2,13-04-2023,2,27-04-2023,2,13-04-2023,5,1797.266,0,3663.0176,3588,0,0,0,13.74,0,0,827.235,647.9,0,0,4138,4,53,0,0,5.97,0,0,0,1,1,4628.53,599,350,3679.53,1500,1920,0,0,0,0,4287.46
