Id,AccountId,City,State,Country,StageName,Applicant_Type__c,income_as_a_of_DP200_income__c,Deposit_spent_on_DOD__c,Monthly_ongoing_financial_commitments__c,DP_Primary_income_frequency__c,DP_enders_with_uncleared_dishonours_233__c,Primary_regular_benefit_frequency__c,Largest_income_source_day_of_week__c,Frequency_for_largest_income_source__c,Total_monthly_income_ongoin_Reg_231__c,DP_Dishonours_Across_Primary_Acct_244__c,DP_No_Direct_Debits_On_Primary_Acct_355__c,Amount_of_SACC_commitments_due__c,Largest_income_Src_Avg_freq__c,Largest_income_Src_last_payment_amt__c,agency_collection_providers__c,income_DP200_spend_on_high_risk_merch__c,most_recent_loan_has_no_repayments__c,Income_source_is_other_income_549__c,Summary_Income__c,Summary_Expenses__c,Rent_Mortgage__c,Loan_Amount__c,Total_Repayment_Amount__c,Total_Repayments__c,Term_in_Weeks__c,Payment_Frequency__c,Applicant_Age__c,Summary_Income_CV__c,Amount_Requested__c,Employment_Status__c,Dishonours_203__c,DP_Insolvency_Indicator__c,DP_Days_in_Overdrawn_For_Period__c,Dishonours_For_Last_30_Days_DP907__c,Salary_Gov_Allowances_all_types_2117__c,DP_Monthly_avg_of_SACC_repayments__c,DP_Avg_Monthly_Loan_Liability_269__c,Repayment_Amount__c,Opportunity_Origin__c,Current_Balance__c,Opp_Number__c,loan_dishonours__c,CloseDate,Bank_Report_Gov_Benefit__c,Purpose_of_Loan__c,Loan_apply_date,DE_Results,DP_Total_Monthly_Benefit_Income__c,Total_monthly_credits__c,Summary_Income_BS__c
0062x00000DUeiHAAT,0012x00000ZukAtAAJ,Bracken Ridge,QLD,Australia,Loan Paid,Existing Client-Granted Loan Before,0.4,60.98,5026.5635,4.0,0.0,0.0,5.0,4.0,5644.9066,0.0,66.0,717.3336,2822.4533,2525.84,0.0,0.0,0.0,0.0,2400.0,400.0,250.0,2850,3592.86,11.0,21.429,Fortnightly,31.0,5644.91,3000.0,Full-Time Employment,0.0,0.0,0.011,0.0,5644.9066,2452.0,6305.0666,326.63,MoneySpot,0.0,5378658,0.0,24-05-2023,False,Vehicle Expenses,2023-05-24,Green,31.0,7603.0,5644.91
0062x00000DtMSBAA3,0012x00000Mjdm9AAB,Marsfield,NSW,Australia,Loan Paid,Existing Client-Granted Loan Before,0.0,38.81,1277.4446,2.0,0.0,0.0,3.0,2.0,5878.0755,4.0,24.0,140.1991,2358.9966,2772.94,0.0,0.0,0.0,0.0,2300.0,2000.0,1560.0,3000,3680.15,8.0,16.0,Fortnightly,46.0,5878.08,3000.0,Full-Time Employment,4.0,0.0,0.4066,0.0,5411.0533,580.0,1024.0233,460.02,MoneySpot,0.0,5309608,0.0,18-05-2023,False,Travel Expenses,2023-05-18,Green,0.0,8441.0,5878.08
0062x00000DAD7XAAX,0012x00000IPZm7AAH,Port Noarlunga,SA,Australia,Loan Paid,Existing Client-Granted Loan Before,0.0,69.71,2261.0437,2.0,0.0,0.0,3.0,2.0,5890.5433,6.0,35.0,160.0,2473.4566,2594.76,0.0,11.21,1.0,0.0,4468.58,400.0,790.0,3000,3702.0,10.0,18.714,Fortnightly,54.0,5890.54,3000.0,Full-Time Employment,6.0,0.0,0.0659,0.0,5463.58,1216.0,2420.6166,370.2,Financier-2,0.0,4618725,5.0,05-02-2023,False,Vehicle Expenses,2023-02-04,Green,0.0,6497.0,5890.54
0062x00000FJq5aAAD,0010K00001igdWwQAI,Gisborne,VIC,Australia,Loan Paid,Existing Client-Granted Loan Before,0.49,84.51,6721.7713,4.0,0.0,0.0,3.0,4.0,18541.1264,0.0,91.0,480.0,3294.1387,3246.0,0.0,1.61,0.0,0.0,4264.0,1500.0,2238.0,2900,3576.06,8.0,16.143,Fortnightly,43.0,20289.05,2900.0,Full-Time Employment,0.0,0.0,0.5604,0.0,15560.2366,1051.0,8185.81,447.01,QuickCash,0.0,7350284,0.0,30-11-2023,False,Other Expenses,2023-11-29,Green,110.0,22304.0,20289.05
0062x00000FUb8UAAT,0012x00000iIC8JAAW,Dysart,QLD,Australia,Loan Paid,Existing Client-Granted Loan Before,0.11,83.28,563.1575,0.0,0.0,0.0,0.0,0.0,28.6466,0.0,75.0,85.7152,0.0,0.0,1.0,0.0,1.0,0.0,7605.0,899.0,224.0,3000,3658.75,16.0,15.857,Weekly,36.0,8772.96,3000.0,Full-Time Employment,0.0,0.0,0.1429,0.0,0.0,848.0,2795.26,228.68,MoneySpot,0.0,7521159,0.0,15-12-2023,False,Vehicle Expenses,2023-12-15,Orange,14.0,12566.0,8772.96
0062x00000DHkbLAAT,0012x00000TupicAAB,Yarrawonga,VIC,Australia,Loan Paid,Existing Client-Granted Loan Before,0.01,47.71,2087.9299,4.0,0.0,0.0,3.0,4.0,5763.9166,0.0,25.0,1720.136,2476.35,1834.36,1.0,7.66,1.0,0.0,3033.33,400.0,100.0,2600,3209.35,8.0,14.714,Fortnightly,37.0,5617.25,2600.0,Casual Employment,0.0,0.0,0.2088,0.0,4127.25,1976.0,2765.7166,401.17,MoneySpot,4.29,4794471,0.0,04-03-2023,False,Medical Expenses,2023-03-03,Green,1.0,6579.0,5617.25
0062x00000E5vt3AAB,0012x00000iJxcSAAS,Craigieburn,VIC,Australia,Closed Lost,New Client-New Loan,0.0,39.28,470.7333,4.0,0.0,0.0,1.0,4.0,5339.2081,0.0,22.0,0.0,1802.5,1600.0,0.0,0.35,0.0,1.0,1200.0,2000.0,0.0,3000,3558.33,10.0,9.714,Weekly,21.0,5339.21,3000.0,Full-Time Employment,0.0,0.0,0.0,0.0,2931.28,0.0,743.5133,355.84,MoneySpot,,5691058,0.0,23-06-2023,False,Vehicle Expenses,2023-06-22,Orange,0.0,6005.0,5339.21
0062x00000ECdx9AAD,0012x00000TJS9hAAH,Sturt,SA,Australia,Loan Paid,Existing Client-Granted Loan Before,1.71,82.74,3908.3447,2.0,0.0,0.0,3.0,2.0,5788.1821,0.0,39.0,3070.5597,2175.8183,2181.3,2.0,0.0,1.0,0.0,5633.33,400.0,0.0,3000,3847.98,14.0,27.143,Fortnightly,48.0,5788.18,3000.0,Full-Time Employment,0.0,0.0,0.033,0.0,4351.6366,2905.0,4447.1166,274.86,MoneySpot,0.0,5890959,0.0,12-07-2023,False,Home Maintenance & Repairs,2023-07-12,Orange,90.0,5263.0,5788.18
0062x00000DA6pNAAT,0012x00000g8M91AAE,Hampton Park,VIC,Australia,Loan Paid,Existing Client-Granted Loan Before,0.0,40.54,1540.8233,2.0,0.0,0.0,3.0,2.0,3771.4993,0.0,10.0,330.2381,1735.9242,1809.88,0.0,0.12,0.0,0.0,4077.93,599.0,1600.0,3000,3670.59,8.0,15.714,Fortnightly,31.0,3776.5,3000.0,Full-Time Employment,0.0,0.0,0.0,0.0,4050.49,765.0,1098.04,458.83,MoneySpot,-0.17,4612754,0.0,04-02-2023,False,Medical Expenses,2023-02-03,Green,0.0,4214.0,3776.5
0062x00000DruVLAAZ,0010K0000274UckQAE,Clayton South,VIC,Australia,Loan Paid,Existing Client-Granted Loan Before,0.0,73.31,2342.0498,1.0,1.0,0.0,4.0,1.0,7151.9955,2.0,56.0,417.1429,1410.805,2232.85,1.0,0.19,0.0,0.0,2600.0,899.0,450.0,3000,3658.48,16.0,15.857,Weekly,32.0,8230.33,3000.0,Casual Employment,2.0,0.0,0.1099,1.0,6583.7566,1951.0,2783.4733,228.66,MoneySpot,0.0,5204671,2.0,06-05-2023,False,Furniture or Appliances,2023-05-06,Orange,0.0,8777.0,8230.33
0062x00000FHVamAAH,0010K00001qltqLQAQ,Goulburn,NSW,Australia,Loan Paid,Existing Client-Granted Loan Before,0.0,44.26,1056.51,4.0,0.0,0.0,3.0,4.0,873.3332,0.0,92.0,2511.3427,387.5,800.0,1.0,0.2,0.0,1.0,8016.67,1500.0,840.0,3000,3738.0,20.0,20.286,Weekly,44.0,8198.12,3000.0,Full-Time Employment,0.0,0.0,0.011,0.0,356.6666,3350.0,4405.4533,186.91,MoneySpot,0.0,7177121,0.0,13-11-2023,False,Life Event Expenses,2023-11-12,Orange,0.0,9413.0,8198.12
0062x00000FWaIlAAL,0012x00000hWzcrAAC,Cambridge Gardens,NSW,Australia,Closed Lost,Existing Client-Granted Loan Before,0.85,25.46,1750.3533,1.0,0.0,4.0,3.0,1.0,8386.5544,0.0,0.0,0.0,1331.5178,1317.8,0.0,1.05,0.0,1.0,0.0,899.0,1160.0,3000,3663.06,16.0,16.0,Weekly,38.0,8386.55,3000.0,,0.0,0.0,0.0,0.0,82.1666,720.0,1788.23,228.95,QuickCash,,7683912,0.0,02-01-2024,False,Other Expenses,2023-12-29,Orange,82.0,9644.0,8386.55
0062x00000DAoRKAA1,0010K00001yq2qhQAA,Woodridge,QLD,Australia,Loan Paid,Existing Client-Granted Loan Before,0.0,56.64,3707.7828,4.0,0.0,0.0,3.0,4.0,6448.4166,0.0,51.0,1472.1427,2418.1562,2256.0,1.0,2.38,0.0,0.0,4151.33,400.0,1060.0,2900,3603.58,9.0,18.0,Fortnightly,58.0,6448.42,3000.0,Full-Time Employment,0.0,0.0,0.0,0.0,6448.4166,1561.0,4183.1133,400.4,MoneySpot,0.0,4646746,0.0,09-02-2023,False,Travel Expenses,2023-02-09,Green,0.0,7296.0,6448.42
0062x00000EEbukAAD,0012x00000Veew0AAB,KATHERINE,NT,Australia,Closed Lost,Existing Client-Granted Loan Before,1.66,83.63,2606.5276,4.0,3.0,2.0,3.0,4.0,14286.7622,4.0,54.0,525.6435,251.7884,100.0,1.0,11.78,0.0,1.0,2740.94,1500.0,100.0,3000,3619.49,7.0,13.143,Fortnightly,49.0,24191.36,3000.0,Full-Time Employment,4.0,0.0,0.1978,4.0,6298.3166,1595.0,2483.0833,517.08,MoneySpot,,6025315,4.0,27-07-2023,False,Furniture or Appliances,2023-07-27,Orange,729.0,43684.0,24191.36
0062x00000D9JaWAAV,0012x00000g8tdgAAA,Keysborough,VIC,Australia,Closed Lost,Existing Client-No Loan Granted Ever,0.0,74.94,500.5701,1.0,0.0,0.0,4.0,1.0,8137.0139,0.0,3.0,500.5714,1144.0909,969.0,0.0,0.0,0.0,0.0,5200.0,400.0,500.0,3000,3574.41,9.0,9.714,Weekly,32.0,7405.33,3000.0,Full-Time Employment,0.0,0.0,0.1319,0.0,4195.0,115.0,115.2,397.16,MoneySpot,,4576645,0.0,30-01-2023,False,Child Expenses,2023-01-29,Orange,0.0,9443.0,7405.33
0062x00000DXLytAAH,0012x00000e0KZ0AAM,Vinifera,VIC,Australia,Loan Paid,Existing Client-Granted Loan Before,0.0,53.84,4523.884,2.0,0.0,0.0,2.0,2.0,6728.7954,0.0,14.0,0.0,2526.6828,2689.24,1.0,2.65,0.0,0.0,3200.0,400.0,1700.0,2950,3680.17,10.0,19.714,Fortnightly,42.0,7134.87,3000.0,Full-Time Employment,0.0,0.0,0.011,0.0,6975.95,1043.0,5234.91,368.02,MoneySpot,-0.01,4968251,0.0,31-03-2023,False,Other Expenses,2023-03-30,Green,0.0,7334.0,7134.87
0062x00000ExGHyAAN,0012x00000fm58dAAA,Cardiff,NSW,Australia,Loan Paid,Existing Client-Granted Loan Before,0.0,65.49,646.3541,4.0,0.0,0.0,1.0,4.0,1288.3333,0.0,27.0,0.0,833.3333,800.0,2.0,13.2,0.0,1.0,0.0,400.0,1000.0,3000,3672.75,16.0,16.286,Weekly,35.0,6418.6,3000.0,Full-Time Employment,0.0,0.0,0.4066,0.0,0.0,627.0,2487.1,229.55,MoneySpot,-0.29,6649455,0.0,26-09-2023,False,Medical Expenses,2023-09-26,Green,0.0,9016.0,6418.6
0062x00000DtlziAAB,0012x00000FFaxOAAT,THORNLIE,WA,Australia,Closed Lost,Existing Client-Granted Loan Before,0.0,88.89,1313.9912,2.0,0.0,0.0,3.0,2.0,6057.1758,0.0,30.0,714.9127,2247.9616,2277.39,1.0,0.37,0.0,0.0,1850.0,899.0,1290.0,3000,3665.07,9.0,18.571,Fortnightly,37.0,6143.96,3000.0,Full-Time Employment,0.0,0.0,0.1209,0.0,4495.9233,694.0,2243.5033,407.24,MoneySpot,,5346051,0.0,26-05-2023,False,Vehicle Expenses,2023-05-21,Green,0.0,6219.0,6143.96
0062x00000ED5UKAA1,0012x00000XOQIsAAP,CARBROOK,QLD,Australia,Loan Paid,Existing Client-Granted Loan Before,0.0,39.55,1617.6829,1.0,0.0,0.0,3.0,1.0,6110.2983,0.0,39.0,323.894,659.1562,237.5,0.0,32.23,0.0,0.0,0.0,899.0,900.0,3000,3817.25,26.0,25.714,Weekly,32.0,6747.58,4500.0,,0.0,0.0,0.0549,0.0,2905.0833,905.0,1646.59,146.82,MoneySpot,0.0,5918901,0.0,15-07-2023,False,Other Expenses,2023-07-15,Green,0.0,10503.0,6747.58
0062x00000EN1L3AAL,0012x00000goWpaAAE,Yanchep,WA,Australia,Loan Paid,Existing Client-Granted Loan Before,0.0,40.17,714.6395,4.0,0.0,0.0,3.0,4.0,6450.8933,0.0,6.0,0.0,2764.6685,3439.0,0.0,24.9,0.0,0.0,0.0,1499.0,840.0,3000,3689.43,8.0,16.286,Fortnightly,29.0,14513.85,3000.0,,0.0,0.0,0.0,0.0,6450.8933,658.0,657.86,461.18,MoneySpot,-0.07,6144326,0.0,08-08-2023,False,Travel Expenses,2023-08-08,Green,0.0,17540.0,14513.85
0062x00000DA0sGAAT,0012x00000IPcSQAA1,Goonellabah,NSW,Australia,Loan Paid,Existing Client-Granted Loan Before,22.72,86.11,3257.2506,4.0,0.0,2.0,4.0,4.0,8484.3855,13.0,39.0,615.1454,3024.742,2103.16,3.0,1.16,0.0,0.0,0.0,1499.0,2000.0,3000,3882.89,10.0,24.0,Fortnightly,48.0,8539.44,3000.0,,13.0,0.0,0.044,5.0,7948.6033,647.0,3405.7333,388.29,MoneySpot,0.0,4608857,8.0,03-02-2023,False,Living Expenses,2023-02-03,Orange,2907.0,12792.0,8539.44
0062x00000DZjBGAA1,0010K00001sFyYYQA0,Ayr,QLD,Australia,Loan Paid,Existing Client-Granted Loan Before,0.0,63.48,3825.9736,1.0,0.0,0.0,3.0,1.0,8121.6403,3.0,55.0,1690.0215,1033.0792,1033.08,0.0,0.16,0.0,0.0,3683.33,899.0,300.0,2950,3604.95,16.0,15.857,Weekly,48.0,8131.64,3000.0,Full-Time Employment,3.0,0.0,0.3077,0.0,4476.6766,2278.0,5745.38,225.32,MoneySpot,0.0,5109483,2.0,21-04-2023,False,Home Maintenance & Repairs,2023-04-21,Green,0.0,10491.0,8131.64
0062x00000F2GplAAF,0012x00000kZVobAAG,St Albans,VIC,Australia,Loan Paid,Existing Client-Granted Loan Before,0.39,50.96,996.6076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,2.82,0.0,0.0,6463.0,599.0,2300.0,3000,3906.8,7.0,28.857,Monthly,53.0,5.07,5000.0,Full-Time Employment,0.0,0.0,0.022,0.0,0.0,713.0,4354.1133,558.12,MoneySpot,0.0,6956954,0.0,26-10-2023,False,Furniture or Appliances,2023-10-26,Orange,27.0,6876.0,5.07
0062x00000ECdqeAAD,0012x00000gnEqSAAU,Semaphore,SA,Australia,Closed Lost,Existing Client-Granted Loan Before,0.0,59.48,2255.8711,1.0,0.0,0.0,2.0,1.0,7313.1568,0.0,0.0,19.2766,783.269,746.0,1.0,0.4,0.0,1.0,0.0,400.0,760.0,3000,3636.01,14.0,14.143,Weekly,41.0,6781.65,3000.0,,0.0,0.0,0.011,0.0,0.0,510.0,2212.6266,259.72,MoneySpot,,5890898,0.0,12-07-2023,False,Living Expenses,2023-07-12,Orange,0.0,7501.0,6781.65
0062x00000FK09TAAT,0012800001Z3vFDAAZ,Blacktown,NSW,Australia,Loan Paid,Existing Client-Granted Loan Before,0.33,82.51,3924.0581,2.0,0.0,2.0,4.0,2.0,11927.4833,4.0,15.0,0.0,2115.68,2115.68,1.0,0.25,0.0,0.0,3791.67,400.0,1000.0,3000,3684.34,8.0,16.143,Fortnightly,32.0,11927.48,3000.0,Full-Time Employment,4.0,0.0,0.0,0.0,8719.84,2209.0,6014.8733,460.55,MoneySpot,0.0,7359935,0.0,30-11-2023,False,Travel Expenses,2023-11-30,Green,49.0,14715.0,11927.48
0062x00000FILmQAAX,0012x00000goqqWAAQ,Caboolture,QLD,Australia,Loan Paid,Existing Client-Granted Loan Before,24.7,60.79,0.0,4.0,0.0,2.0,4.0,4.0,8559.8408,0.0,9.0,0.0,591.875,30.0,0.0,9.11,0.0,1.0,0.0,599.0,300.0,3000,3654.07,16.0,15.714,Weekly,31.0,8659.84,3000.0,Part-Time Employment,0.0,0.0,0.0,0.0,5151.9966,0.0,0.0,228.39,MoneySpot,0.0,7242750,0.0,18-11-2023,False,Child Expenses,2023-11-18,Green,2255.0,9128.0,8659.84
0062x00000FV30GAAT,0010K00001cNl9oQAC,Elizabeth Bay,NSW,Australia,Loan Paid,Existing Client-Granted Loan Before,0.0,10.8,963.7666,0.0,0.0,0.0,0.0,0.0,1.96,0.0,8.0,637.8497,0.0,0.0,1.0,1.66,0.0,0.0,5900.0,1499.0,2000.0,3000,3725.18,4.0,16.857,Monthly,49.0,1.96,3000.0,Full-Time Employment,0.0,0.0,0.0,0.0,0.0,1051.0,2447.1066,931.3,MoneySpot,0.0,7561375,0.0,19-12-2023,False,Living Expenses,2023-12-18,Orange,0.0,9257.0,1.96
0062x00000FWBoCAAX,0012x00000SIRelAAH,Bentley,WA,Australia,Loan Paid,Existing Client-Granted Loan Before,0.24,65.98,3860.356,2.0,0.0,0.0,3.0,2.0,11328.4751,1.0,24.0,0.0,3424.905,8653.56,0.0,0.0,0.0,0.0,5696.79,899.0,880.0,3000,3721.03,10.0,19.286,Fortnightly,36.0,13606.47,3000.0,Full-Time Employment,1.0,1.0,0.2308,0.0,6849.81,2361.0,6348.0233,372.11,MoneySpot,0.0,7650735,1.0,27-12-2023,False,Other Expenses,2023-12-27,Orange,32.0,12976.0,13606.47
0062x00000FKT1HAAX,0010K000026P4BQQA0,Cheltenham,VIC,Australia,Loan Paid,Existing Client-Granted Loan Before,8.01,55.27,2557.9943,4.0,0.0,4.0,1.0,4.0,689.9433,5.0,91.0,314.0304,268.25,45.0,1.0,0.02,0.0,1.0,10400.0,1499.0,2000.0,3000,3667.79,16.0,16.143,Weekly,55.0,10012.02,3000.0,Part-Time Employment,5.0,0.0,0.0,0.0,143.3233,1147.0,4739.3933,229.24,MoneySpot,0.0,7393670,5.0,04-12-2023,False,Medical Expenses,2023-12-04,Green,894.0,11151.0,10012.02
0062x00000FUQC6AAP,0012x00000OJx2XAAT,Diamond Beach,NSW,Australia,Loan Paid,Existing Client-Granted Loan Before,0.0,28.1,701.72,1.0,2.0,0.0,4.0,1.0,6003.669,0.0,3.0,704.421,1381.6666,1414.0,0.0,1.84,0.0,0.0,9739.65,899.0,250.0,3000,3749.26,4.0,17.571,Monthly,45.0,12544.99,3000.0,Part-Time Employment,4.0,0.0,0.0,2.0,1381.6666,1185.0,1887.1033,937.32,MoneySpot,0.0,7507690,4.0,14-12-2023,False,Living Expenses,2023-12-14,Orange,0.0,6400.0,12544.99
0062x00000EeILyAAN,0012x00000FFpQgAAL,Kangaroo Point,QLD,Australia,Loan Paid,Existing Client-Granted Loan Before,0.89,34.92,5997.4778,2.0,0.0,0.0,3.0,2.0,8100.9881,0.0,17.0,0.0,3401.0016,3401.01,1.0,13.8,0.0,1.0,6008.76,1500.0,640.0,2800,3542.15,11.0,21.571,Fortnightly,56.0,8100.99,2800.0,Full-Time Employment,0.0,0.0,0.0,0.0,0.0,747.0,7992.05,322.02,MoneySpot,-0.06,6478737,0.0,10-09-2023,False,Medical Expenses,2023-09-10,Orange,80.0,8985.0,8100.99
0062x00000DsKrcAAF,0012x00000XBM8QAAX,Munno Para,SA,Australia,Loan Paid,Existing Client-Granted Loan Before,0.0,62.16,3946.5768,1.0,0.0,0.0,1.0,1.0,5803.6874,0.0,64.0,1603.9708,968.0,1020.0,0.0,0.27,0.0,0.0,5954.9,899.0,275.0,2850,3590.4,22.0,21.857,Weekly,49.0,5008.58,3000.0,Full-Time Employment,0.0,0.0,0.0,0.0,3872.0,1473.0,4005.0733,163.21,MoneySpot,0.0,5234582,0.0,10-05-2023,False,Medical Expenses,2023-05-09,Green,0.0,7845.0,5008.58
