Id,AccountId,City,State,Country,StageName,Applicant_Type__c,income_as_a_of_DP200_income__c,Deposit_spent_on_DOD__c,Monthly_ongoing_financial_commitments__c,DP_Primary_income_frequency__c,DP_enders_with_uncleared_dishonours_233__c,Primary_regular_benefit_frequency__c,Largest_income_source_day_of_week__c,Frequency_for_largest_income_source__c,Total_monthly_income_ongoin_Reg_231__c,DP_Dishonours_Across_Primary_Acct_244__c,DP_No_Direct_Debits_On_Primary_Acct_355__c,Amount_of_SACC_commitments_due__c,Largest_income_Src_Avg_freq__c,Largest_income_Src_last_payment_amt__c,agency_collection_providers__c,income_DP200_spend_on_high_risk_merch__c,most_recent_loan_has_no_repayments__c,Income_source_is_other_income_549__c,Summary_Income__c,Summary_Expenses__c,Rent_Mortgage__c,Loan_Amount__c,Total_Repayment_Amount__c,Total_Repayments__c,Term_in_Weeks__c,Payment_Frequency__c,Applicant_Age__c,Summary_Income_CV__c,Amount_Requested__c,Employment_Status__c,Dishonours_203__c,DP_Insolvency_Indicator__c,DP_Days_in_Overdrawn_For_Period__c,Dishonours_For_Last_30_Days_DP907__c,Salary_Gov_Allowances_all_types_2117__c,DP_Monthly_avg_of_SACC_repayments__c,DP_Avg_Monthly_Loan_Liability_269__c,Repayment_Amount__c,Opportunity_Origin__c,Current_Balance__c,Opp_Number__c,loan_dishonours__c,CloseDate,Bank_Report_Gov_Benefit__c,Purpose_of_Loan__c,Loan_apply_date,DE_Results,DP_Total_Monthly_Benefit_Income__c,Total_monthly_credits__c,Summary_Income_BS__c
0062x00000F48KsAAJ,0010K000021XZE3QAO,Melton,VIC,Australia,Loan Paid,Existing Client-Granted Loan Before,0.66,62.93,935.9705,2.0,0.0,0.0,1.0,2.0,7101.7125,0.0,12.0,0.0,1848.7071,1834.0,0.0,0.35,0.0,0.0,3900.0,1500.0,300.0,3000,3872.8,14.0,27.857,Fortnightly,35.0,6816.3,3000.0,Unemployed,0.0,0.0,0.0,0.0,4313.65,198.0,2144.8,276.64,Financier-2,0.0,7109249,0.0,08-11-2023,False,Vehicle Expenses,2023-11-07,Green,51.0,7648.0,6816.3
0062x00000DsQhOAAV,0010K00001uG8zgQAC,Gracemere,QLD,Australia,Loan Paid,Existing Client-Granted Loan Before,0.0,83.18,911.4526,4.0,0.0,0.0,3.0,4.0,863.29,0.0,39.0,0.0,152.3452,1112.79,1.0,0.0,0.0,1.0,1191.67,400.0,187.5,3000,3728.26,20.0,20.0,Weekly,32.0,6815.09,3000.0,Casual Employment,0.0,0.0,0.0549,0.0,0.0,1069.0,2099.55,186.42,QuickCash,-0.78,5239077,0.0,10-05-2023,False,Vehicle Expenses,2023-05-10,Orange,0.0,6731.0,6815.09
0062x00000DIKnUAAX,0012x00000INz3lAAD,Wattle Grove,NSW,Australia,Loan Paid,Existing Client-Granted Loan Before,0.0,84.59,3229.2377,4.0,0.0,0.0,3.0,4.0,10029.7033,0.0,26.0,0.0,2136.8112,2494.66,1.0,0.1,0.0,0.0,1634.0,599.0,600.0,3000,3876.2,15.0,29.0,Fortnightly,51.0,10029.7,5000.0,Full-Time Employment,0.0,0.0,0.0,0.0,5698.1633,2004.0,3414.2733,258.42,MoneySpot,0.0,4827883,0.0,09-03-2023,False,Travel Expenses,2023-03-09,Orange,0.0,10187.0,10029.7
0062x00000EeWkJAAV,0012x000003EdSRAA0,Shanes Park,NSW,Australia,Closed Lost,Existing Client-Granted Loan Before,0.0,64.06,8129.7313,1.0,0.0,0.0,4.0,1.0,7610.6772,0.0,64.0,0.0,1517.568,2668.14,1.0,3.47,1.0,0.0,7041.67,899.0,200.0,3000,3859.43,13.0,26.429,Fortnightly,57.0,6483.74,5000.0,Full-Time Employment,2.0,0.0,0.1209,2.0,5058.56,1978.0,8775.9466,296.88,Financier-2,,6497241,0.0,15-09-2023,False,Travel Expenses,2023-09-12,Orange,0.0,11612.0,6483.74
0062x00000Fib0zAAB,0012x00000gnAYFAA2,Murarrie,QLD,Australia,Closed Lost,Existing Client-Granted Loan Before,0.88,97.91,4377.6399,2.0,0.0,0.0,3.0,2.0,5979.2737,0.0,0.0,288.0,1990.35,1540.56,0.0,0.12,0.0,0.0,1900.0,899.0,900.0,3000,3711.56,10.0,19.0,Fortnightly,23.0,5979.27,3000.0,Part-Time Employment,0.0,0.0,0.5165,0.0,3980.7,1186.0,7554.1166,371.16,MoneySpot,,7997980,0.0,2024-01-29,False,Living Expenses,2024-01-25,Orange,54.0,6078.0,5979.27
0062x00000FVTyaAAH,0012x00000iKwxHAAS,Werribee,VIC,Australia,Loan Paid,Existing Client-Granted Loan Before,0.0,65.75,2588.7104,1.0,0.0,0.0,3.0,1.0,4589.3279,0.0,30.0,428.7446,1020.5492,830.16,1.0,2.43,0.0,0.0,0.0,599.0,400.0,2750,3394.13,16.0,16.0,Weekly,18.0,4958.12,2750.0,Full-Time Employment,0.0,0.0,0.0,0.0,4422.38,1619.0,2249.4666,212.14,MoneySpot,0.0,7595308,0.0,22-12-2023,False,Living Expenses,2023-12-22,Orange,0.0,5233.0,4958.12
0062x00000FI0ycAAD,0012x00000GbishAAB,Blacktown,NSW,Australia,Closed Lost,Existing Client-Granted Loan Before,0.0,47.9,3730.1199,3.0,0.0,0.0,2.0,3.0,5548.4066,0.0,24.0,393.5328,5548.4066,6801.6,1.0,0.0,0.0,0.0,4937.0,599.0,1525.0,3000,3808.89,5.0,21.571,Monthly,47.0,5548.41,5000.0,Full-Time Employment,0.0,0.0,0.0,0.0,5548.4066,907.0,5912.88,761.78,MoneySpot,,7219520,0.0,16-11-2023,False,Travel Expenses,2023-11-15,Orange,0.0,8216.0,5548.41
0062x00000ExqqyAAB,0010K000026ONVbQAO,MOUNT PLEASANT,QLD,Australia,Closed Lost,Existing Client-Granted Loan Before,0.0,81.78,2189.6775,1.0,0.0,0.0,3.0,1.0,11403.087,24.0,54.0,1078.8004,1848.2806,1748.77,0.0,0.0,0.0,0.0,5200.0,599.0,450.0,3000,3916.75,32.0,31.714,Weekly,43.0,11422.09,4500.0,Full-Time Employment,24.0,0.0,0.1868,8.0,9241.4033,1355.0,1875.48,122.41,MoneySpot,,6694877,9.0,03-10-2023,False,Furniture or Appliances,2023-09-29,Orange,0.0,11351.0,11422.09
0062x00000DrCnJAAV,0010K000021V0I8QAK,The Entrance North,NSW,Australia,Loan Paid,Existing Client-Granted Loan Before,0.0,74.36,973.05,1.0,0.0,0.0,3.0,1.0,8902.916,0.0,21.0,0.0,2014.7533,1806.37,0.0,2.37,0.0,0.0,6101.33,400.0,370.0,3000,3788.7,24.0,23.857,Weekly,30.0,13650.15,4000.0,Casual Employment,0.0,0.0,0.011,0.0,6044.26,973.0,989.7166,157.87,MoneySpot,-0.1,5151668,0.0,28-04-2023,False,Other Expenses,2023-04-27,Orange,0.0,8234.0,13650.15
0062x00000DsOlJAAV,0012x00000hZSZbAAO,Tarneit,VIC,Australia,Closed Lost,New Client-New Loan,0.0,44.49,5010.2997,2.0,1.0,0.0,2.0,2.0,3619.3699,3.0,7.0,0.0,875.0,1050.0,0.0,0.0,0.0,1.0,0.0,0.0,650.0,3000,3570.11,9.0,9.571,Weekly,36.0,9870.63,3000.0,,3.0,0.0,0.0,3.0,0.0,0.0,7627.44,396.68,MoneySpot,,5237664,3.0,10-05-2023,False,Purchase - Electrical Purchase - Computer/TV,2023-05-10,Orange,0.0,21514.0,9870.63
