Id,AccountId,City,State,Country,StageName,Applicant_Type__c,income_as_a_of_DP200_income__c,Deposit_spent_on_DOD__c,Monthly_ongoing_financial_commitments__c,DP_Primary_income_frequency__c,DP_enders_with_uncleared_dishonours_233__c,Primary_regular_benefit_frequency__c,Largest_income_source_day_of_week__c,Frequency_for_largest_income_source__c,Total_monthly_income_ongoin_Reg_231__c,DP_Dishonours_Across_Primary_Acct_244__c,DP_No_Direct_Debits_On_Primary_Acct_355__c,Amount_of_SACC_commitments_due__c,Largest_income_Src_Avg_freq__c,Largest_income_Src_last_payment_amt__c,agency_collection_providers__c,income_DP200_spend_on_high_risk_merch__c,most_recent_loan_has_no_repayments__c,Income_source_is_other_income_549__c,Summary_Income__c,Summary_Expenses__c,Rent_Mortgage__c,Loan_Amount__c,Total_Repayment_Amount__c,Total_Repayments__c,Term_in_Weeks__c,Payment_Frequency__c,Applicant_Age__c,Summary_Income_CV__c,Amount_Requested__c,Employment_Status__c,Dishonours_203__c,DP_Insolvency_Indicator__c,DP_Days_in_Overdrawn_For_Period__c,Dishonours_For_Last_30_Days_DP907__c,Salary_Gov_Allowances_all_types_2117__c,DP_Monthly_avg_of_SACC_repayments__c,DP_Avg_Monthly_Loan_Liability_269__c,Repayment_Amount__c,Opportunity_Origin__c,Current_Balance__c,Opp_Number__c,loan_dishonours__c,CloseDate,Bank_Report_Gov_Benefit__c,Purpose_of_Loan__c,Loan_apply_date,DE_Results,DP_Total_Monthly_Benefit_Income__c,Total_monthly_credits__c,Summary_Income_BS__c
0062x00000DGt5GAAT,0012x00000FGe6bAAD,Bogangar,NSW,Australia,Closed Lost,Existing Client-No Loan Granted Ever,52.71,40.54,3506.6124,4.0,0.0,2.0,5.0,2.0,4358.6681,2.0,17.0,291.2064,620.0966,567.77,0.0,0.0,1.0,0.0,2535.0,1500.0,0.0,700,896.0,3.0,5.857,Fortnightly,64.0,4405.73,5000.0,Part-Time Employment,2.0,0.0,0.2857,0.0,3528.2433,559.0,3474.6066,298.67,MoneySpot,,4748100,2.0,24-02-2023,True,Vehicle Expenses,2023-02-24,Orange,2250.0,4268.0,4405.73
0062x00000DHKHpAAP,0012x00000GbgVJAAZ,Jimboomba,QLD,Australia,Loan Paid,Existing Client-Granted Loan Before,38.18,94.45,2980.7915,4.0,0.0,1.0,2.0,4.0,10534.4594,2.0,46.0,384.4522,516.3428,7.0,2.0,0.16,0.0,1.0,3033.33,599.0,240.0,800,1056.0,5.0,10.143,Fortnightly,34.0,4293.2,1000.0,Part-Time Employment,2.0,0.0,0.011,0.0,4291.8266,1734.0,5368.8866,211.2,MoneySpot,0.0,4772656,2.0,01-03-2023,False,Relocation Expenses,2023-02-28,Orange,4292.0,11241.0,4293.2
0062x00000DG0IuAAL,0012x00000TrTQ8AAN,Avenell Heights,QLD,Australia,Loan Paid,Existing Client-Granted Loan Before,0.0,74.62,2539.4344,1.0,0.0,0.0,4.0,1.0,5971.484,0.0,72.0,1437.1314,964.4625,982.53,1.0,0.0,0.0,0.0,4151.33,599.0,220.0,950,1292.0,14.0,14.143,Weekly,56.0,5971.48,950.0,Full-Time Employment,0.0,0.0,0.011,0.0,3857.85,1936.0,3177.3733,92.29,Financier-2,0.0,4697386,0.0,16-02-2023,False,Medical Expenses,2023-02-16,Green,0.0,6979.0,5971.48
0062x00000FVUjMAAX,0012x00000clQAHAA2,Dean Park,NSW,Australia,Loan Paid,Existing Client-Granted Loan Before,0.0,47.42,750.8868,2.0,0.0,0.0,3.0,2.0,4250.1907,0.0,7.0,0.0,1956.2528,2266.17,0.0,0.0,0.0,0.0,1500.0,899.0,300.0,750,990.0,6.0,12.0,Fortnightly,30.0,4250.19,750.0,Full-Time Employment,0.0,0.0,0.0,0.0,4564.59,397.0,778.21,165.0,QuickCash,0.0,7596005,0.0,22-12-2023,False,Travel Expenses,2023-12-21,Green,0.0,4835.0,4250.19
0062x00000D9Go5AAF,0012x00000G2s2SAAR,Saint Clair,NSW,Australia,Loan Paid,Existing Client-Granted Loan Before,0.35,57.36,311.8825,4.0,0.0,0.0,5.0,4.0,11165.2823,0.0,13.0,1757.145,540.569,634.0,0.0,56.74,0.0,1.0,1765.83,400.0,0.0,950,1254.0,10.0,10.571,Weekly,33.0,11173.37,950.0,Casual Employment,0.0,0.0,0.2637,0.0,3491.9166,2472.0,2951.3133,125.4,MoneySpot,0.0,4574133,0.0,29-01-2023,False,Living Expenses,2023-01-28,Orange,46.0,13054.0,11173.37
0062x00000FSU4oAAH,0010K00001iKLWqQAO,Southbank,VIC,Australia,Closed Lost,Existing Client-Granted Loan Before,0.0,50.36,3742.1351,4.0,1.0,0.0,7.0,4.0,3246.46,4.0,50.0,481.2786,512.3076,600.0,0.0,31.95,0.0,1.0,3250.0,899.0,850.0,800,1120.0,18.0,18.429,Weekly,28.0,4272.92,2250.0,Full-Time Employment,4.0,0.0,0.0,0.0,1026.46,2031.0,4182.98,62.22,MoneySpot,,8953483,2.0,2024-04-23,False,Child Expenses,2024-04-23,Orange,0.0,8275.0,4272.92
0062x00000DWqr8AAD,0012x00000RpuD1AAJ,Roxburgh Park,VIC,Australia,Loan Paid,Existing Client-Granted Loan Before,33.31,58.42,788.6416,2.0,0.0,2.0,4.0,2.0,5129.2262,0.0,19.0,0.0,1452.3771,1511.28,0.0,0.0,0.0,0.0,1400.0,599.0,600.0,1000,1280.0,3.0,5.571,Fortnightly,33.0,5129.23,1000.0,Part-Time Employment,0.0,0.0,0.0,0.0,5205.8266,350.0,758.46,426.67,QuickCash,0.0,4941394,0.0,27-03-2023,False,Living Expenses,2023-03-27,Green,1817.0,5454.0,5129.23
0062x00000DrxwhAAB,0012x00000Mirj7AAB,Cessnock,NSW,Australia,Loan Paid,Existing Client-Granted Loan Before,0.0,80.42,817.1791,1.0,0.0,0.0,5.0,1.0,2779.322,1.0,35.0,487.6806,624.5892,969.0,0.0,0.02,0.0,1.0,1600.64,899.0,720.0,1000,1320.0,10.0,10.0,Weekly,41.0,5760.45,2050.0,Part-Time Employment,1.0,0.0,0.0549,1.0,1329.0433,631.0,771.0,132.0,MoneySpot,0.0,5209692,1.0,06-05-2023,False,Vehicle Expenses,2023-05-06,Orange,0.0,5480.0,5760.45
0062x00000Fiz6rAAB,0012x00000nRLHMAA4,Albion,QLD,Australia,Closed Lost,New Client-New Loan,0.0,79.97,90.0,4.0,0.0,0.0,4.0,4.0,10992.7322,0.0,0.0,0.0,2860.0,4713.0,0.0,5.39,0.0,1.0,8000.0,2000.0,600.0,1000,1360.0,14.0,13.714,Weekly,43.0,11484.07,4000.0,Full-Time Employment,0.0,0.0,0.0,0.0,1066.6666,0.0,90.0,97.14,MoneySpot,,8030911,0.0,2024-01-28,False,Furniture or Appliances,2024-01-28,Orange,0.0,12032.0,11484.07
0062x00000D8viQAAR,0010K00001y2C3fQAE,Montmorency,VIC,Australia,Loan Paid,Existing Client-Granted Loan Before,0.0,75.63,906.3406,2.0,0.0,0.0,3.0,2.0,6343.5033,0.0,10.0,128.0,2813.12,2915.55,1.0,0.11,0.0,0.0,3900.0,899.0,101.0,600,816.0,7.0,14.0,Fortnightly,44.0,6343.5,600.0,Full-Time Employment,1.0,0.0,0.967,0.0,6563.9466,128.0,793.8333,116.57,QuickCash,0.0,4556459,1.0,26-01-2023,False,Medical Expenses,2023-01-26,Orange,0.0,7831.0,6343.5
0062x00000DGE2kAAH,0010K00001zGJqDQAW,Wellington Point,QLD,Australia,Loan Paid,Existing Client-Granted Loan Before,49.39,64.02,960.1261,2.0,0.0,4.0,3.0,2.0,5634.5191,1.0,35.0,363.6346,909.58,1012.75,0.0,3.12,0.0,0.0,3614.0,400.0,0.0,1000,1360.0,7.0,13.714,Fortnightly,43.0,5641.52,1000.0,Full-Time Employment,1.0,0.0,0.033,0.0,5104.86,845.0,1623.2966,194.29,QuickCash,0.0,4710198,0.0,18-02-2023,False,Veterinary Expenses,2023-02-18,Green,3005.0,6084.0,5641.52
0062x00000DAFyYAAX,0012x00000TJMfHAAX,Warmun,WA,Australia,Loan Paid,Existing Client-Granted Loan Before,0.0,68.64,444.9524,4.0,0.0,0.0,5.0,4.0,5020.6732,0.0,8.0,0.0,1207.1385,991.8,0.0,0.0,0.0,0.0,1862.86,599.0,320.0,850,1156.0,7.0,12.857,Fortnightly,33.0,5020.67,850.0,Full-Time Employment,0.0,0.0,0.1099,0.0,4754.0066,273.0,279.7333,165.14,Financier-2,0.0,4621288,0.0,05-02-2023,False,Other Expenses,2023-02-05,Green,0.0,6322.0,5020.67
0062x00000DYnTrAAL,0012x00000hXpX9AAK,Blacktown,SA,Australia,Closed Lost,New Client-New Loan,0.0,74.72,0.0,2.0,0.0,0.0,3.0,2.0,2404.5013,3.0,15.0,0.0,1106.73,941.59,0.0,0.0,0.0,0.0,2600.0,400.0,0.0,700,896.0,3.0,5.0,Fortnightly,34.0,2404.5,10200.0,Contract Employment,3.0,0.0,0.0879,0.0,1844.55,0.0,493.5,298.67,MoneySpot,,5053684,0.0,17-04-2023,False,Living Expenses,2023-04-13,Orange,0.0,2383.0,2404.5
0062x00000DFFoMAAX,0012x00000cyyF0AAI,Parramatta,NSW,Australia,Loan Paid,Existing Client-Granted Loan Before,0.0,74.56,526.1258,2.0,0.0,0.0,5.0,2.0,4212.3604,1.0,7.0,262.8869,1686.5714,1624.0,1.0,0.0,0.0,0.0,2924.83,599.0,540.0,1000,1360.0,7.0,14.0,Fortnightly,28.0,5787.75,1000.0,Part-Time Employment,1.0,0.0,0.2088,0.0,3935.3333,282.0,515.7533,194.29,MoneySpot,0.0,4657213,1.0,10-02-2023,False,Life Event Expenses,2023-02-10,Green,0.0,6398.0,5787.75
0062x00000DUcz0AAD,0010K00001rnmOZQAY,Atherton,QLD,Australia,Loan Paid,Existing Client-Granted Loan Before,15.24,88.68,2017.2534,1.0,0.0,2.0,1.0,1.0,7941.782,0.0,11.0,0.0,449.935,467.42,0.0,19.48,0.0,1.0,3705.0,599.0,840.0,1000,1360.0,14.0,13.857,Weekly,52.0,12534.3,1000.0,Casual Employment,0.0,0.0,0.0,0.0,1867.9166,220.0,1994.04,97.14,QuickCash,0.0,5377243,0.0,24-05-2023,False,Furniture or Appliances,2023-05-24,Orange,1868.0,12257.0,12534.3
0062x00000D8ZylAAF,0012x00000cjfJLAAY,Nambour,QLD,Australia,Loan Paid,Existing Client-Granted Loan Before,0.0,58.4,463.5043,1.0,0.0,0.0,5.0,1.0,4506.8121,1.0,27.0,0.0,674.5454,640.0,0.0,0.0,0.0,0.0,2301.2,899.0,1000.0,750,1020.0,14.0,14.571,Weekly,46.0,4506.81,1000.0,Self Employed,1.0,0.0,0.0,0.0,2473.3333,261.0,295.5566,72.86,QuickCash,0.0,4540087,1.0,24-01-2023,False,Home Maintenance & Repairs,2023-01-24,Orange,0.0,7001.0,4506.81
0062x00000DG6KiAAL,0012x00000XO0YhAAL,South Penrith,NSW,Australia,Loan Paid,Existing Client-Granted Loan Before,0.0,87.07,1722.0316,1.0,0.0,0.0,4.0,1.0,7105.0315,0.0,43.0,1010.3363,1343.8923,1316.2,1.0,0.0,0.0,0.0,1300.0,1499.0,1000.0,1000,1360.0,14.0,14.0,Weekly,55.0,7110.03,2050.0,Full-Time Employment,1.0,0.0,0.0,0.0,5823.5333,1842.0,2290.9466,97.14,MoneySpot,0.0,4702958,1.0,17-02-2023,False,Living Expenses,2023-02-17,Orange,0.0,8436.0,7110.03
0062x00000DXWg7AAH,0012x00000dyFMiAAM,Hayborough,SA,Australia,Loan Paid,Existing Client-Granted Loan Before,27.52,59.17,2377.7644,1.0,0.0,4.0,2.0,1.0,6036.4603,0.0,0.0,204.457,849.9607,778.83,1.0,0.0,0.0,0.0,800.0,599.0,1680.0,1000,1280.0,9.0,8.571,Weekly,42.0,6008.5,1000.0,Part-Time Employment,0.0,0.0,0.0,0.0,5469.4166,498.0,2422.2666,142.22,QuickCash,0.0,4979273,0.0,01-04-2023,False,Vehicle Expenses,2023-04-01,Green,1786.0,6489.0,6008.5
0062x00000D1vzmAAB,0012x00000BGUUOAA5,Capalaba,QLD,Australia,Loan Paid,Existing Client-Granted Loan Before,12.78,52.69,339.7926,1.0,0.0,0.0,4.0,1.0,1525.8734,0.0,15.0,66.7009,385.5454,539.0,0.0,2.92,0.0,0.0,2600.0,400.0,300.0,700,952.0,14.0,14.143,Weekly,25.0,2065.9,700.0,Contract Employment,0.0,0.0,0.033,0.0,1413.6666,270.0,356.9733,68.0,QuickCash,0.0,4418549,0.0,05-01-2023,False,Living Expenses,2023-01-05,Green,342.0,2674.0,2065.9
0062x00000Drz7rAAB,0012x00000RqhiAAAR,GLENORCHY,TAS,Australia,Loan Paid,Existing Client-Granted Loan Before,32.97,71.6,3570.0487,4.0,0.0,4.0,4.0,4.0,2376.1332,8.0,33.0,384.0,494.7675,339.78,1.0,2.57,0.0,0.0,0.0,599.0,120.0,1000,1360.0,7.0,13.571,Fortnightly,31.0,2376.13,2050.0,,8.0,0.0,0.0659,0.0,2175.3366,0.0,3851.46,194.29,QuickCash,0.0,5211501,6.0,06-05-2023,True,Vehicle Expenses,2023-05-06,Orange,1333.0,4043.0,2376.13
0062x00000D7Bo1AAF,0010K00001qkWNeQAM,Bomaderry,NSW,Australia,Loan Paid,Existing Client-Granted Loan Before,0.74,27.43,5520.7273,4.0,0.0,3.0,3.0,4.0,1929.7632,0.0,88.0,579.2358,1324.8725,1405.91,0.0,0.0,1.0,0.0,3466.67,400.0,400.0,1000,1360.0,14.0,13.857,Weekly,63.0,15012.51,1000.0,Full-Time Employment,0.0,0.0,0.0,0.0,1883.0966,2289.0,5875.2033,97.14,MoneySpot,0.0,4471453,0.0,13-01-2023,False,Medical Expenses,2023-01-13,Orange,117.0,15779.0,15012.51
0062x00000D1t7wAAB,0012x00000Ge3mxAAB,Isabella Plains,ACT,Australia,Loan Paid,Existing Client-Granted Loan Before,0.0,56.12,1711.876,4.0,0.0,0.0,1.0,4.0,1274.8332,0.0,67.0,1077.8639,96.5681,55.0,1.0,0.35,0.0,1.0,1000.0,400.0,740.0,1000,1360.0,14.0,14.143,Weekly,28.0,4896.6,1000.0,Full-Time Employment,0.0,1.0,0.0769,0.0,0.0,760.0,1915.72,97.14,Financier-2,0.02,4416570,0.0,05-01-2023,False,Living Expenses,2023-01-05,Orange,0.0,6492.0,4896.6
0062x00000D1UnRAAV,0012x00000KLJboAAH,MINTO,NSW,Australia,Closed Lost,Existing Client-No Loan Granted Ever,0.0,95.14,469.0166,1.0,0.0,0.0,1.0,1.0,7970.0925,0.0,34.0,123.0,950.0,800.0,6.0,3.0,0.0,1.0,3683.33,0.0,800.0,700,896.0,6.0,6.143,Weekly,29.0,7982.0,1000.0,Full-Time Employment,0.0,0.0,0.2198,0.0,0.0,82.0,768.51,149.33,QuickCash,,4392625,0.0,04-01-2023,False,Other,2023-01-01,Orange,0.0,8495.0,7982.0
0062x00000FkFEEAA3,0010K00001gkccoQAA,Albanvale,VIC,Australia,Loan Paid,Existing Client-Granted Loan Before,0.0,62.6,333.91,3.0,0.0,0.0,5.0,3.0,422.61,2.0,47.0,2325.6223,422.61,93.6,0.0,0.0,0.0,1.0,9316.67,899.0,0.0,1000,1320.0,10.0,10.429,Weekly,37.0,9311.32,4500.0,Full-Time Employment,2.0,0.0,0.011,2.0,0.0,2737.0,2736.8466,132.0,MoneySpot,0.0,8120647,0.0,2024-02-08,False,Vehicle Expenses,2024-02-07,Orange,0.0,11712.0,9311.32
