Id,AccountId,City,State,Country,StageName,Applicant_Type__c,income_as_a_of_DP200_income__c,Deposit_spent_on_DOD__c,Monthly_ongoing_financial_commitments__c,DP_Primary_income_frequency__c,DP_enders_with_uncleared_dishonours_233__c,Primary_regular_benefit_frequency__c,Largest_income_source_day_of_week__c,Frequency_for_largest_income_source__c,Total_monthly_income_ongoin_Reg_231__c,DP_Dishonours_Across_Primary_Acct_244__c,DP_No_Direct_Debits_On_Primary_Acct_355__c,Amount_of_SACC_commitments_due__c,Largest_income_Src_Avg_freq__c,Largest_income_Src_last_payment_amt__c,agency_collection_providers__c,income_DP200_spend_on_high_risk_merch__c,most_recent_loan_has_no_repayments__c,Income_source_is_other_income_549__c,Summary_Income__c,Summary_Expenses__c,Rent_Mortgage__c,Loan_Amount__c,Total_Repayment_Amount__c,Total_Repayments__c,Term_in_Weeks__c,Payment_Frequency__c,Applicant_Age__c,Summary_Income_CV__c,Amount_Requested__c,Employment_Status__c,Dishonours_203__c,DP_Insolvency_Indicator__c,DP_Days_in_Overdrawn_For_Period__c,Dishonours_For_Last_30_Days_DP907__c,Salary_Gov_Allowances_all_types_2117__c,DP_Monthly_avg_of_SACC_repayments__c,DP_Avg_Monthly_Loan_Liability_269__c,Repayment_Amount__c,Opportunity_Origin__c,Current_Balance__c,Opp_Number__c,loan_dishonours__c,CloseDate,Bank_Report_Gov_Benefit__c,Purpose_of_Loan__c,Loan_apply_date,DE_Results,DP_Total_Monthly_Benefit_Income__c,Total_monthly_credits__c,Summary_Income_BS__c
0062x00000EcB45AAF,0012x00000hXmgUAAS,Haynes,WA,Australia,Closed Lost,Existing Client-No Loan Granted Ever,0.0,84.21,174.48,4.0,0.0,0.0,5.0,4.0,3221.46,4.0,7.0,229.9743,1502.4,2482.0,0.0,0.0,0.0,1.0,1100.0,0.0,450.0,4500,5236.93,13.0,13.571,Weekly,21.0,3478.13,4500.0,Part-Time Employment,4.0,0.0,0.0,2.0,537.46,252.0,252.0266,402.85,QuickCash,,6338313,4.0,26-08-2023,False,Car Other,2023-08-26,Orange,0.0,3694.0,3478.13
0062x00000DZxUYAA1,0012x00000XK0yKAAT,Parkville,VIC,Australia,Closed Lost,Existing Client-Granted Loan Before,22.88,61.48,947.5001,1.0,0.0,2.0,2.0,1.0,5560.4307,1.0,33.0,0.0,938.85,938.85,0.0,0.0,0.0,0.0,0.0,899.0,1086.0,4300,5245.61,16.0,16.143,Weekly,25.0,5431.59,4500.0,,1.0,0.0,0.044,0.0,5431.5933,549.0,1479.2633,327.86,MoneySpot,,5126627,0.0,24-04-2023,False,Living Expenses,2023-04-24,Green,1363.0,5955.0,5431.59
0062x00000E4ktHAAR,0012x00000IOQCLAA5,Maribyrnong,VIC,Australia,Loan Paid,Existing Client-Granted Loan Before,0.0,74.59,1572.1605,1.0,3.0,0.0,2.0,1.0,6635.3514,6.0,48.0,0.0,1089.61,1089.61,1.0,1.44,0.0,0.0,1100.0,599.0,950.0,4500,5474.88,24.0,24.143,Weekly,28.0,5737.71,4500.0,Full-Time Employment,6.0,0.0,0.011,6.0,4989.9766,845.0,1524.1866,227.62,MoneySpot,0.0,5595257,5.0,13-06-2023,False,Vehicle Expenses,2023-06-13,Green,0.0,8266.0,5737.71
0062x00000D7cSZAAZ,0012x00000BIuAyAAL,Marsden,QLD,Australia,Loan Paid,Existing Client-Granted Loan Before,8.03,44.27,1617.8958,2.0,0.0,2.0,2.0,2.0,5085.7266,0.0,63.0,1485.698,1953.83,2227.42,0.0,0.0,1.0,0.0,3900.0,400.0,1240.0,4200,4985.77,8.0,16.143,Fortnightly,35.0,5085.73,4200.0,Full-Time Employment,0.0,0.0,0.022,0.0,4963.6166,1366.0,2348.0333,623.23,MoneySpot,0.0,4492409,0.0,17-01-2023,False,Relocation Expenses,2023-01-16,Orange,405.0,5038.0,5085.73
0062x00000EzywRAAR,0012x00000GbDnZAAV,Bendigo,VIC,Australia,Closed Lost,Existing Client-Granted Loan Before,0.0,44.52,1216.0966,2.0,0.0,0.0,2.0,2.0,5574.7634,3.0,25.0,0.0,2215.3433,2131.02,0.0,0.0,0.0,0.0,3499.09,599.0,620.0,4250,5138.1,8.0,18.286,Fortnightly,43.0,5574.77,4250.0,Full-Time Employment,3.0,0.0,0.1099,2.0,4430.6866,1919.0,2245.5,642.27,MoneySpot,,6848291,1.0,16-10-2023,False,Other Expenses,2023-10-15,Orange,0.0,8204.0,5574.77
0062x00000EOB0gAAH,0012x00000TGzB9AAL,Tugun,QLD,Australia,Loan Paid,Existing Client-Granted Loan Before,0.0,35.56,2612.9014,2.0,1.0,0.0,2.0,2.0,10887.5537,0.0,56.0,0.0,2840.0,2888.7,1.0,2.79,0.0,0.0,9204.04,599.0,600.0,4500,5249.36,8.0,14.857,Fortnightly,59.0,12299.44,4500.0,Full-Time Employment,1.0,0.0,0.033,1.0,9778.0933,705.0,2573.2266,656.18,MoneySpot,0.0,6238356,1.0,18-08-2023,False,Vehicle Expenses,2023-08-17,Green,0.0,12958.0,12299.44
0062x00000ExhJUAAZ,0010K000029HgIgQAK,Blacktown,NSW,Australia,Loan Paid,Existing Client-Granted Loan Before,5.59,85.84,11897.9155,4.0,0.0,0.0,5.0,4.0,21893.4157,0.0,48.0,0.0,5125.0,7000.0,0.0,16.47,0.0,1.0,0.0,599.0,500.0,4500,5757.25,36.0,36.0,Weekly,40.0,30159.1,4500.0,,0.0,0.0,0.011,0.0,2780.8966,1780.0,14518.7766,159.42,MoneySpot,0.0,6681549,0.0,29-09-2023,False,Travel Expenses,2023-09-28,Orange,2572.0,45978.0,30159.1
0062x00000DZc9FAAT,0012x00000NxQPsAAN,Redland Bay,QLD,Australia,Closed Lost,Existing Client-No Loan Granted Ever,0.0,93.49,1746.4418,1.0,1.0,0.0,2.0,1.0,2759.4795,0.0,0.0,0.0,250.0,250.0,2.0,0.0,0.0,1.0,0.0,1499.0,1000.0,4500,5373.24,20.0,20.0,Weekly,26.0,6438.66,4500.0,,4.0,0.0,0.0,4.0,4522.5,0.0,2131.5433,268.67,MoneySpot,,5102469,5.0,20-04-2023,False,Living Expenses,2023-04-20,Orange,0.0,7182.0,6438.66
0062x00000DsiCOAAZ,0012x000008K2BLAA0,Beaconsfield,QLD,Australia,Loan Paid,Existing Client-Granted Loan Before,0.0,76.64,1111.2494,1.0,0.0,0.0,5.0,1.0,3733.3445,4.0,21.0,0.0,712.1121,797.86,0.0,24.26,0.0,0.0,2612.2,599.0,450.0,4300,5244.66,24.0,24.0,Weekly,23.0,3733.34,5000.0,Full-Time Employment,4.0,0.0,0.5604,2.0,3323.19,662.0,982.7033,218.05,QuickCash,0.0,5257127,3.0,13-05-2023,False,Living Expenses,2023-05-12,Green,0.0,3705.0,3733.34
0062x00000EO225AAD,0012x00000kgyTMAAY,Goranba,QLD,Australia,Closed Lost,New Client-New Loan,0.0,32.95,1809.1985,1.0,0.0,0.0,2.0,1.0,4535.417,0.0,12.0,0.0,967.055,948.64,0.0,0.12,0.0,0.0,4108.0,1500.0,1655.38,4500,5233.53,14.0,14.0,Weekly,34.0,4535.42,4500.0,Full-Time Employment,0.0,0.0,0.0769,0.0,3868.22,0.0,1684.0,373.83,MoneySpot,,6225996,0.0,16-08-2023,False,Living Expenses,2023-08-15,Orange,0.0,5088.0,4535.42
