Id,AccountId,City,State,Country,StageName,Applicant_Type__c,income_as_a_of_DP200_income__c,Deposit_spent_on_DOD__c,Monthly_ongoing_financial_commitments__c,DP_Primary_income_frequency__c,DP_enders_with_uncleared_dishonours_233__c,Primary_regular_benefit_frequency__c,Largest_income_source_day_of_week__c,Frequency_for_largest_income_source__c,Total_monthly_income_ongoin_Reg_231__c,DP_Dishonours_Across_Primary_Acct_244__c,DP_No_Direct_Debits_On_Primary_Acct_355__c,Amount_of_SACC_commitments_due__c,Largest_income_Src_Avg_freq__c,Largest_income_Src_last_payment_amt__c,agency_collection_providers__c,income_DP200_spend_on_high_risk_merch__c,most_recent_loan_has_no_repayments__c,Income_source_is_other_income_549__c,Summary_Income__c,Summary_Expenses__c,Rent_Mortgage__c,Loan_Amount__c,Total_Repayment_Amount__c,Total_Repayments__c,Term_in_Weeks__c,Payment_Frequency__c,Applicant_Age__c,Summary_Income_CV__c,Amount_Requested__c,Employment_Status__c,Dishonours_203__c,DP_Insolvency_Indicator__c,DP_Days_in_Overdrawn_For_Period__c,Dishonours_For_Last_30_Days_DP907__c,Salary_Gov_Allowances_all_types_2117__c,DP_Monthly_avg_of_SACC_repayments__c,DP_Avg_Monthly_Loan_Liability_269__c,Repayment_Amount__c,Opportunity_Origin__c,Current_Balance__c,Opp_Number__c,loan_dishonours__c,Bank_Report_Gov_Benefit__c,Purpose_of_Loan__c,DE_Results,DP_Total_Monthly_Benefit_Income__c,Total_monthly_credits__c,Summary_Income_BS__c
0062x00000EwHpaAAF,0012x00000iJH9TAAW,Karalee,QLD,Australia,Loan Paid,Existing Client-Granted Loan Before,0.0,38.19,2028.1098,4.0,0.0,0.0,5.0,4.0,5285.7066,0.0,11.0,0.0,3454.5525,2729.77,0.0,0.12,0.0,0.0,0.0,1499.0,0.0,2050,2797.24,6.0,25.857,Monthly,46.0,5285.71,2050.0,Full-Time Employment,0.0,0.0,0.0,0.0,4606.07,396.0,3498.4866,466.21,MoneySpot,0.0,6577173,0.0,False,Living Expenses,Orange,0.0,5731.0,5285.71
0062x00000EOD1bAAH,0010K000023P8iUQAS,Penrith,NSW,Australia,Loan Paid,Existing Client-Granted Loan Before,0.0,62.92,4870.8518,2.0,1.0,0.0,3.0,2.0,7813.3539,5.0,55.0,480.6196,3522.3333,3132.0,1.0,0.0,0.0,0.0,4983.33,599.0,880.0,2050,2651.89,8.0,16.0,Fortnightly,37.0,16288.67,2050.0,Full-Time Employment,5.0,0.0,0.6154,3.0,3522.3333,3003.0,5442.9566,331.49,QuickCash,0.0,6240527,5.0,False,Furniture or Appliances,Green,0.0,9405.0,16288.67
0062x00000DFZ3fAAH,0012x00000Rrs2EAAR,Caerleon,NSW,Australia,Loan Paid,Existing Client-Granted Loan Before,0.0,38.22,1705.2042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,633.1446,0.0,0.0,1.0,0.0,0.0,0.0,4766.67,400.0,400.0,2050,2633.17,16.0,15.714,Weekly,30.0,1118.59,2050.0,Full-Time Employment,0.0,0.0,0.0,0.0,0.0,1218.0,1265.1233,164.58,MoneySpot,-0.15,4674645,0.0,False,Vehicle Expenses,Orange,0.0,1795.0,1118.59
0062x00000DAOCoAAP,0012x000003DP6nAAG,Hillcrest,QLD,Australia,Closed Lost,Existing Client-Granted Loan Before,18.65,62.13,968.6156,2.0,0.0,2.0,2.0,2.0,2459.1365,0.0,0.0,1609.6331,794.38,832.22,0.0,4.02,0.0,0.0,0.0,400.0,0.0,2050,2681.51,10.0,19.286,Fortnightly,60.0,2459.14,2050.0,,0.0,0.0,0.0659,0.0,2451.8366,1492.0,1577.8233,268.16,MoneySpot,,4627559,0.0,False,Furniture or Appliances,Orange,598.0,3205.0,2459.14
0062x00000EwmeLAAR,0012x00000goHZqAAM,Redbank Plains,QLD,Australia,Loan Paid,Existing Client-Granted Loan Before,23.54,85.42,1092.4641,4.0,0.0,2.0,3.0,4.0,5126.3049,16.0,37.0,0.0,1223.972,1932.94,0.0,0.0,0.0,0.0,500.0,599.0,560.0,2050,2695.31,10.0,19.857,Fortnightly,56.0,6486.48,2050.0,Part-Time Employment,16.0,0.0,0.3297,2.0,3622.3933,1141.0,1623.6833,269.54,MoneySpot,0.0,6613716,6.0,False,Home Maintenance & Repairs,Green,1672.0,7102.0,6486.48
0062x00000EDZ4XAAX,0012x00000g9xYnAAI,Wattle Grove,WA,Australia,Loan Paid,Existing Client-Granted Loan Before,0.0,16.37,309.3587,1.0,0.0,0.0,5.0,1.0,5214.2856,0.0,7.0,0.0,1200.0,1200.0,1.0,0.0,0.0,0.0,0.0,400.0,900.0,2050,2650.1,16.0,16.429,Weekly,35.0,4400.0,3000.0,Employed full-time,0.0,0.0,0.0,0.0,4400.0,0.0,335.5766,165.64,MoneySpot,-0.2,5951789,0.0,False,Living Expenses,Green,0.0,5060.0,4400.0
0062x00000EzlEVAAZ,0012x00000hY8b0AAC,Aitkenvale,QLD,Australia,Loan Paid,Existing Client-Granted Loan Before,0.0,72.94,1661.4576,1.0,0.0,0.0,3.0,1.0,9539.637,4.0,67.0,0.0,1961.9676,1247.24,0.0,0.25,0.0,0.0,6933.33,1499.0,1600.0,2050,2633.04,16.0,15.714,Weekly,37.0,9539.64,3000.0,Full-Time Employment,5.0,0.0,0.0,0.0,8501.86,243.0,6118.1433,164.57,MoneySpot,0.0,6833423,3.0,False,Living Expenses,Green,0.0,10467.0,9539.64
0062x00000DWR4lAAH,0010K00001j683FQAQ,Lethbridge Park,NSW,Australia,Loan Paid,Existing Client-Granted Loan Before,0.0,84.51,3188.1378,1.0,0.0,0.0,3.0,1.0,5593.9413,5.0,69.0,554.0016,1287.373,1514.7,1.0,3.85,0.0,0.0,4333.33,599.0,400.0,2050,2639.84,16.0,16.0,Weekly,31.0,6259.11,2050.0,Full-Time Employment,5.0,0.0,0.3516,4.0,5578.6166,1014.0,3500.4866,165.0,MoneySpot,0.0,4916861,0.0,False,Medical Expenses,Orange,0.0,6281.0,6259.11
0062x00000EzrxeAAB,0012x00000Tra5OAAR,CARRARA,QLD,Australia,Loan Paid,Existing Client-Granted Loan Before,0.0,88.61,333.3333,2.0,0.0,0.0,4.0,2.0,6118.6375,0.0,0.0,0.0,2268.5242,2535.74,0.0,10.91,0.0,0.0,5810.9,599.0,1200.0,2050,2763.2,13.0,25.714,Fortnightly,37.0,8643.6,2050.0,Full-Time Employment,0.0,0.0,0.0,0.0,6622.9033,0.0,506.6666,212.56,MoneySpot,0.0,6840710,0.0,False,Living Expenses,Orange,0.0,8450.0,8643.6
0062x00000FXTfZAAX,0012x00000ADmTMAA1,South Bunbury,WA,Australia,Loan Paid,Existing Client-Granted Loan Before,0.0,60.94,662.9909,1.0,0.0,0.0,3.0,1.0,8129.6912,0.0,9.0,0.0,1371.2,1121.8,0.0,8.78,0.0,0.0,0.0,400.0,170.0,2050,2609.76,14.0,13.714,Weekly,34.0,8134.69,2050.0,,0.0,0.0,0.3956,0.0,6398.9333,425.0,637.2166,186.42,MoneySpot,-0.01,7757155,0.0,False,Furniture or Appliances,Orange,0.0,7577.0,8134.69
0062x00000GFE7bAAH,0012x00000WWHaGAAX,Cooks Gap,NSW,Australia,Closed Lost,Existing Client-Granted Loan Before,0.0,56.9,2571.9635,1.0,0.0,0.0,2.0,1.0,6979.7733,0.0,54.0,0.0,1606.3046,1627.2,0.0,2.99,1.0,0.0,4135.76,599.0,200.0,2050,2616.74,14.0,14.0,Weekly,20.0,7986.44,5000.0,Full-Time Employment,0.0,0.0,0.0,0.0,6960.6533,1247.0,3885.9533,186.91,MoneySpot,,8537605,0.0,False,Living Expenses,Orange,0.0,9440.0,7986.44
0062x00000DsOVGAA3,0012x00000XNQQIAA5,North Plympton,SA,Australia,Loan Paid,Existing Client-Granted Loan Before,0.0,60.14,1910.3245,2.0,1.0,0.0,3.0,2.0,3659.0063,20.0,59.0,264.0,1684.1466,1574.88,3.0,0.23,0.0,0.0,1200.0,899.0,200.0,2050,2725.1,12.0,23.143,Fortnightly,24.0,3659.01,2050.0,Part-Time Employment,20.0,0.0,0.4396,4.0,3368.2933,520.0,1875.1866,227.1,QuickCash,-0.02,5237487,15.0,False,Vehicle Expenses,Orange,0.0,3425.0,3659.01
0062x00000FkFqDAAV,0012x00000nSBccAAG,Borroloola,NT,Australia,Closed Lost,New Client-New Loan,0.0,48.25,4245.3352,2.0,0.0,0.0,2.0,2.0,7327.9899,0.0,31.0,484.2551,3411.5933,4752.04,0.0,1.09,0.0,1.0,5980.0,400.0,300.0,2050,2615.37,6.0,12.429,Fortnightly,38.0,7947.8,8000.0,Full-Time Employment,0.0,0.0,0.3407,0.0,0.0,912.0,3418.69,435.9,MoneySpot,,8121162,0.0,False,Living Expenses,Orange,0.0,9228.0,7947.8
0062x00000FwGE2AAN,0012x00000Tt3yvAAB,Yeronga,QLD,Australia,Closed Lost,Existing Client-No Loan Granted Ever,0.0,73.24,365.0,2.0,0.0,0.0,2.0,2.0,12069.9216,0.0,15.0,0.0,1503.8,1570.0,0.0,11.14,1.0,1.0,2651.33,599.0,250.0,2050,2607.98,7.0,13.143,Fortnightly,41.0,13756.59,2050.0,Part-Time Employment,2.0,0.0,0.011,0.0,0.0,0.0,495.29,372.57,MoneySpot,,8367379,0.0,False,Life Event Expenses,Orange,0.0,16313.0,13756.59
0062x00000DAOfuAAH,0010K00001wTO5BQAW,Mount Sheridan,QLD,Australia,Closed Lost,Existing Client-Granted Loan Before,0.0,94.44,719.2435,1.0,0.0,0.0,1.0,1.0,9014.4416,1.0,12.0,1408.0,994.2553,54.3,1.0,9.6,1.0,1.0,24916.67,599.0,200.0,2050,2654.9,17.0,17.143,Weekly,30.0,14142.01,2050.0,Full-Time Employment,1.0,0.0,0.2418,1.0,5055.9666,594.0,824.0533,156.18,MoneySpot,,4628000,0.0,False,Medical Expenses,Green,0.0,9516.0,14142.01
0062x00000E6elVAAR,0012x00000dzeJZAAY,Pakenham,VIC,Australia,Loan Paid,Existing Client-Granted Loan Before,0.0,90.85,990.9451,4.0,0.0,0.0,2.0,4.0,11709.2731,2.0,26.0,0.0,1507.2727,1000.0,1.0,0.01,0.0,1.0,6902.65,599.0,1100.0,2050,2631.16,8.0,15.143,Fortnightly,42.0,11714.27,3200.0,Part-Time Employment,5.0,0.0,0.1429,2.0,2288.2733,539.0,971.9933,328.9,MoneySpot,0.0,5757428,1.0,False,Furniture or Appliances,Green,0.0,15033.0,11714.27
