id,StageName,Opportunity_Origin__c,DNB_Scoring_Rate__c,Current_Balance__c,Applicant_Type__c,Opp_number__C,Multiple_Lenders_Hardship__c,income_as_a_of_DP200_income__c,Deposit_spent_on_DOD__c,DP_Monthly_avg_of_SACC_repayments__c,Monthly_ongoing_financial_commitments__c,DP_Primary_income_frequency__c,DP_Primary_income_last_pay_date__c,DP_enders_with_uncleared_dishonours_233__c,Primary_regular_benefit_frequency__c,Last_pay_date_for_largest_inc_src_302__c,Largest_income_source_day_of_week__c,Next_pay_date_for_largest_income_source__c,Frequency_for_largest_income_source__c,Primary_regular_benefit_last_pay_date__c,loan_dishonours__c,Primary_regular_benefit_monthly_amount__c,Courts_and_Fines_transactions__c,Total_monthly_income_ongoin_Reg_231__c,DP_Total_Monthly_Benefit_Income__c,DP_Dishonours_Across_Primary_Acct_244__c,DP_No_Direct_Debits_On_Primary_Acct_355__c,DP_Budget_Management_Services__c,Hardship_Indicator_Gambling__c,DP_Monthly_rent_amount_236__c,Amount_of_SACC_commitments_due__c,Largest_income_Src_Avg_freq__c,Largest_income_Src_last_payment_amt__c,Deposits_since_last_SACC_dishonour__c,SACC_commitments_due_next_month__c,Total_monthly_credits__c,agency_collection_providers__c,Collection_agency_transactions__c,Average_monthly_amount_of_Courts_and_Fin__c,Courts_and_Fines_providers__c,income_DP200_spend_on_high_risk_merch__c,most_recent_loan_has_no_repayments__c,Deposits_since_last_dishonour__c,Income_source_is_other_income_549__c,Bank_Report_Gov_Benefit__c,Income_source_is_a_government_benefit__c,Summary_Income__c,Summary_Expenses__c,Rent_Mortgage__c,Summary_Total__c,Loan_Amount__c,Total_Repayment_Amount__c,Dishonours_203__c,DP_Insolvency_Indicator__c,DP_Days_in_Overdrawn_For_Period__c,Dishonours_For_Last_30_Days_DP907__c,Salary_Gov_Allowances_all_types_2117__c
0062x00000EcWP5AAN,Closed Won-Funded,MoneySpot,,3034.17,Existing Client-Granted Loan Before,6361909,82.19,0,53.98,1270,2147.562,1,24-08-2023,0,0,24-08-2023,4,31-08-2023,1,,12,0,0,5929.6225,0,16,0,0,5.18,0,844.1144,1335.5727,1078,4,9.07,9309,0,0,0,0,2.83,0,3,0,0,0,4116.67,599,650,2867.67,4000,4800.8,1,0,0.6813,1,9056.8633
0062x000005WWLNAA4,Loan Paid,MoneySpot,,0,Existing Client-Granted Loan Before,1149347,57.94,0,7.38,3769,7238.3704,3,11-09-2020,0,0,11-09-2020,5,,3,,2,0,0,12839.5166,0,2,50,0,0,0,1854.9152,12839.5166,12732.9,3,27.31,12870,1,6,0,0,0,0,1,0,0,,0,1500,950,-2450,4000,4800.98,6,0,0,4,6492.6866
0062x000005WWLNAA4,Loan Paid,MoneySpot,,0,Existing Client-Granted Loan Before,1149347,57.94,0,7.38,3769,7238.3704,3,11-09-2020,0,0,11-09-2020,5,,3,,2,0,0,12839.5166,0,2,50,0,0,0,1854.9152,12839.5166,12732.9,3,27.31,12870,1,6,0,0,0,0,1,0,0,,0,1500,950,-2450,4000,4800.98,0,0,0.1099,0,4437
0062x00000DsSjCAAV,Closed Won-Funded,MoneySpot,,2590.31,Existing Client-Granted Loan Before,5242152,105.23,0.28,94.28,1527,3112.0422,2,26-04-2023,1,0,26-04-2023,3,10-05-2023,2,,8,0,7,7785.3944,23,15,120,0,0.87,0,1224.0877,2693.6516,2774.37,5,15.05,8136,1,7,187,2,0.63,0,0,0,0,0,4983.33,1500,1100,2383.33,4000,4804.52,0,0,0,0,8961.7366
0062x00000E5NZFAA3,Closed Lost,MoneySpot,,,Existing Client-Granted Loan Before,5649313,32.38,0,75.18,699,2230.3901,1,14-06-2023,0,0,14-06-2023,3,21-06-2023,1,,3,0,0,6463.9312,0,3,36,0,0.06,0,1307.52,1253.3969,1202.42,5,4.86,7677,1,7,0,0,0.04,0,0,1,0,0,5200,599,100,4501,4000,4807.63,9,0,0.3846,0,9079.13
0062x00000EESOkAAP,Closed Won-Funded,MoneySpot,,3103.69,Existing Client-Granted Loan Before,6014854,38.85,0.14,90.87,1394,3281.8647,2,19-07-2023,0,0,19-07-2023,3,02-08-2023,2,,2,0,0,8786.14,13,3,38,0,0.56,0,1130.3937,4044.0316,4517.93,3,17.13,9145,1,7,0,0,0.54,0,1,0,0,0,203666.67,599,440,202627.67,4000,4809.19,2,0,0,0,4992.3566
0062x00000E3oTeAAJ,Closed Lost,MoneySpot,,,Existing Client-Granted Loan Before,5519340,134.19,0,91.42,946,3769.6564,2,06-06-2023,5,0,06-06-2023,2,20-06-2023,2,,10,0,0,8666.1604,0,14,43,0,0,0,212.9167,2154.6866,2154.68,1,22.92,10529,1,6,0,0,0,0,1,0,0,0,0,599,1280,-1879,4000,4810.46,0,0,0.7363,0,5880.6033
0062x0000047ctdAAA,Loan Paid,MoneySpot,,0,Existing Client-Granted Loan Before,948919,17.14,0,56.34,534,513.07,1,03-06-2020,0,0,03-06-2020,3,10-06-2020,1,,5,0,0,5859.7343,0,1,25,0,0,0,544.96,1155.89,909,14,8.49,6419,0,0,0,0,0,0,11,1,0,,6066.67,400,1,5665.67,4000,4815.55,0,0,0.033,0,0
0062x0000047ctdAAA,Loan Paid,MoneySpot,,0,Existing Client-Granted Loan Before,948919,17.14,0,56.34,534,513.07,1,03-06-2020,0,0,03-06-2020,3,10-06-2020,1,,5,0,0,5859.7343,0,1,25,0,0,0,544.96,1155.89,909,14,8.49,6419,0,0,0,0,0,0,11,1,0,,6066.67,400,1,5665.67,4000,4815.55,0,0,0.3626,0,5796.3033
0062x00000DthEOAAZ,Closed Won-Funded,QuickCash,,2857.95,Existing Client-Granted Loan Before,5336636,19.92,0,99.36,1328,1966.2647,3,12-05-2023,1,0,12-05-2023,5,,3,,4,0,0,9700.9133,0,4,12,0,0,0,1515.1555,9700.9133,4885.01,0,14.71,10299,1,4,0,0,0,0,0,0,0,0,4250,599,1200,2451,4000,4815.95,1,0,0.011,1,0
0062x00000EDSLGAA5,Closed Won-Funded,MoneySpot,,1169.44,Existing Client-Granted Loan Before,5945157,395.25,0,71.27,2565,720.98,2,03-07-2023,1,0,03-07-2023,1,17-07-2023,2,,1,0,0,3021.1572,0,1,20,0,202.09,0,3052.5148,566.6666,500,0,38.01,10859,0,0,0,0,22.91,0,0,1,0,0,4255,899,850,2506,4000,4823.73,10,0,0.044,8,5493.3833
0062x00000EDY8qAAH,Closed Won-Funded,MoneySpot,,1169.44,Existing Client-Granted Loan Before,5950434,46.6,0,43.52,1717,3569.7999,3,14-07-2023,0,0,14-07-2023,5,,3,,4,0,1,9773.2432,0,0,17,0,57.46,0,541.2891,7886.5766,7886.58,3,10.4,11317,0,0,76,1,40.05,0,3,0,0,0,0,1499,200,-1699,4000,4823.73,0,0,0,0,5906.31
0062x00000E5JsIAAV,Closed Won-Funded,MoneySpot,,6.67,Existing Client-Granted Loan Before,5642538,51.96,0,50.85,869,1726.0966,1,15-06-2023,0,0,15-06-2023,4,22-06-2023,1,,0,0,0,11951.4899,0,0,7,0,4.28,0,0,1307.1428,1500,14,0,15825,0,0,0,0,1.65,0,14,1,0,0,2708.33,599,650,1459.33,4000,4825.28,25,0,0,5,5600
0062x00000EOOyXAAX,Closed Won-Funded,MoneySpot,,2295.28,Existing Client-Granted Loan Before,6255804,26.68,0,63.88,0,604.0833,3,14-08-2023,0,0,14-08-2023,1,,3,,0,0,0,6138.6766,0,2,31,0,0.65,0,0,6138.6766,6138.69,3,0,6721,0,0,0,0,0.6,0,2,0,0,0,5524.4,599,1300,3625.4,4000,4827,1,0,0,1,2597.14
0062x000009p8ypAAA,Bad Debt Written Off,MoneySpot,,0,Existing Client-Granted Loan Before,2322301,60.7,0,56.3,4767,3032.8032,3,14-10-2021,11,0,14-10-2021,4,,3,,17,0,0,10340.44,0,17,33,0,50.67,0,4566.8162,10340.44,10340.44,0,27.08,17928,0,0,0,0,29.22,0,0,0,0,,8300,599,1630,6071,4000,4831.12,5,0,0,0,7065.09
0062x00000ENxmcAAD,Closed Won-Funded,MoneySpot,,2526.55,Existing Client-Granted Loan Before,6219415,78.55,0,90.78,1484,2898.9971,1,08-08-2023,1,0,08-08-2023,2,15-08-2023,1,,4,0,0,5890.3204,0,4,66,0,14.12,0,1003.5509,994.3275,1001,1,17.98,8963,1,1,0,0,6.81,0,1,0,0,0,4333.33,400,560,3373.33,4000,4831.18,0,0,0.011,0,6946.2033
0062x00000A8kujAAB,Bad Debt Written Off,MoneySpot,,0,Existing Client-Granted Loan Before,2432478,23.44,0.12,66.56,700,433.9056,4,12-11-2021,0,0,12-11-2021,5,,4,,0,0,0,10025.5769,13,0,10,0,0,0,960,4055.205,4885,4,0,10440,0,0,0,0,0,0,4,0,0,,0,1499,1900,-3399,4000,4831.41,1,0,0.7692,0,7397.9666
0062x0000074h9RAAQ,Loan Paid,MoneySpot,,0,Existing Client-Granted Loan Before,1493203,23.94,0,26.51,1902,1841.3232,3,14-01-2021,3,0,14-01-2021,4,,3,,3,0,0,12668.6066,0,3,17,0,114.21,0,2224.0629,11508.6066,10294.17,2,12.14,19971,0,0,0,0,65.82,0,2,0,0,,8300,899,1400,6001,4000,4839.65,0,0,0.1538,0,2311.9166
0062x0000074h9RAAQ,Loan Paid,MoneySpot,,0,Existing Client-Granted Loan Before,1493203,23.94,0,26.51,1902,1841.3232,3,14-01-2021,3,0,14-01-2021,4,,3,,3,0,0,12668.6066,0,3,17,0,114.21,0,2224.0629,11508.6066,10294.17,2,12.14,19971,0,0,0,0,65.82,0,2,0,0,,8300,899,1400,6001,4000,4839.65,0,0,0,0,5123.3733
