id,StageName,Opportunity_Origin__c,DNB_Scoring_Rate__c,Current_Balance__c,Applicant_Type__c,Opp_number__C,Multiple_Lenders_Hardship__c,income_as_a_of_DP200_income__c,Deposit_spent_on_DOD__c,DP_Monthly_avg_of_SACC_repayments__c,Monthly_ongoing_financial_commitments__c,DP_Primary_income_frequency__c,DP_Primary_income_last_pay_date__c,DP_enders_with_uncleared_dishonours_233__c,Primary_regular_benefit_frequency__c,Last_pay_date_for_largest_inc_src_302__c,Largest_income_source_day_of_week__c,Next_pay_date_for_largest_income_source__c,Frequency_for_largest_income_source__c,Primary_regular_benefit_last_pay_date__c,loan_dishonours__c,Primary_regular_benefit_monthly_amount__c,Courts_and_Fines_transactions__c,Total_monthly_income_ongoin_Reg_231__c,DP_Total_Monthly_Benefit_Income__c,DP_Dishonours_Across_Primary_Acct_244__c,DP_No_Direct_Debits_On_Primary_Acct_355__c,DP_Budget_Management_Services__c,Hardship_Indicator_Gambling__c,DP_Monthly_rent_amount_236__c,Amount_of_SACC_commitments_due__c,Largest_income_Src_Avg_freq__c,Largest_income_Src_last_payment_amt__c,Deposits_since_last_SACC_dishonour__c,SACC_commitments_due_next_month__c,Total_monthly_credits__c,agency_collection_providers__c,Collection_agency_transactions__c,Average_monthly_amount_of_Courts_and_Fin__c,Courts_and_Fines_providers__c,income_DP200_spend_on_high_risk_merch__c,most_recent_loan_has_no_repayments__c,Deposits_since_last_dishonour__c,Income_source_is_other_income_549__c,Bank_Report_Gov_Benefit__c,Income_source_is_a_government_benefit__c,Summary_Income__c,Summary_Expenses__c,Rent_Mortgage__c,Summary_Total__c,Loan_Amount__c,Total_Repayment_Amount__c,Salary_Gov_Allowances_all_types_2117__c,Dishonours_For_Last_30_Days_DP907__c,DP_Days_in_Overdrawn_For_Period__c,Dishonours_203__c
0062x00000DY3FSAA1,Closed Won-Funded,QuickCash,,220,Existing Client-Granted Loan Before,5009714,12.17,90.97,79.83,226,107.6466,2,21-03-2023,0,2,13-03-2023,1,27-03-2023,2,13-03-2023,0,1860.1251,0,2636.2498,2812,0,8,0,0,0,143.3929,856.168,849.5,6,4.64,3091,0,0,0,0,0,0,6,0,1,1,1198,400,490,308,500,640,4483.35,0,0.011,0
0062x00000AYM1WAAX,Closed Won-Payment Failed,Financier-2,LARGELY COMPLIANT,0,Existing Client-No Loan Granted Ever,3274693,35.84,40.13,74.69,720,709.9349,2,06-07-2022,0,4,06-07-2022,3,20-07-2022,2,06-07-2022,9,947.6933,0,4518.887,1958,14,30,0,0,0,601.8155,1154.3571,1116.43,2,12.34,4878,0,0,0,0,0,0,2,0,0,,3033.33,400,600,2033.33,500,640,1521.4366,0,0.0769,3
0062x00000AfRuNAAV,Closed Won-Payment Failed,MoneySpot,,0,Existing Client-No Loan Granted Ever,2789689,21.26,13.56,58.85,419,382.0862,2,16-03-2022,0,4,16-03-2022,3,30-03-2022,2,20-02-2022,2,575.03,0,5032.5471,680,2,18,0,0.22,0,0,1899.0225,1742.08,4,0,5013,1,1,0,0,0.18,0,4,0,0,,865,400,1347,-882,500,640,2685.9133,0,0,0
0062x00000AjEzYAAV,Closed Won-Payment Failed,MoneySpot,,0,New Client-New Loan,3592647,141.69,1.36,80.93,347,2714.8408,1,25-08-2022,2,0,25-08-2022,4,01-09-2022,1,,8,0,3,2645.3332,263,2,58,0,42.66,0,410.8423,830.8571,1400,7,2.13,19331,0,0,72,1,4.28,0,1,1,0,,4333.33,400,400,3533.33,500,640,3501.02,0,0,2
0062x00000D7zylAAB,Closed Won-Payment Failed,QuickCash,,0,New Client-New Loan,4509556,62.71,0,96.04,1060,1025.3924,2,10-01-2023,1,0,10-01-2023,2,24-01-2023,2,,5,0,0,4072.2074,0,5,21,0,0,0,0,1372.5566,1528.67,0,0,5047,0,0,0,0,0,0,0,0,0,,0,0,1000,-1000,500,640,2646.06,0,0,0
0062x00000DJ7sEAAT,Closed Won-Payment Failed,Financier-2,,320,Existing Client-Granted Loan Before,4872859,36.77,0,6.69,431,1524.0466,3,14-03-2023,0,0,14-03-2023,2,,3,,0,0,0,5198.2433,0,0,0,0,0.37,0,506,5198.2433,5212.91,3,9.4,6355,1,9,0,0,0.3,0,3,0,0,,5500,899,1400,3201,500,640,3338.2666,0,0,0
0062x00000DUexaAAD,Closed Won-Payment Failed,MoneySpot,,82.5,Existing Client-No Loan Granted Ever,5378683,11.23,0,74.17,108,462.1994,2,17-05-2023,3,0,17-05-2023,3,31-05-2023,2,,12,0,0,5712.3401,0,0,0,0,0,0,0,1614.7366,1349.32,3,0,4250,1,6,0,0,0,0,3,0,0,0,1750,0,790,960,500,640,2160.96,0,0.011,0
0062x00000DWlwDAAT,Closed Won-Payment Failed,QuickCash,,410,Existing Client-No Loan Granted Ever,4936823,182.52,0,76.39,217,217.2601,4,24-03-2023,0,0,24-03-2023,5,,4,,7,0,0,2529.9999,0,0,0,0,4.18,0,217.2619,20.7894,20,38,3.25,6690,3,3,0,0,0.16,0,38,1,0,0,3185,599,760,1826,500,640,4976.8333,0,0.011,0
0062x00000DY5ogAAD,Closed Won-Payment Failed,QuickCash,,288.34,New Client-New Loan,5011452,8.44,11.2,61.62,88,114.7134,4,03-04-2023,0,2,03-04-2023,1,,4,14-03-2023,0,574.7898,0,1667.653,441,0,5,0,29.55,0,0,100.8577,58.59,31,0,3934,0,0,0,0,7.83,0,31,1,0,0,2600,400,464,1736,500,640,0,0,0.0989,0
0062x00000DY5xLAAT,Closed Won-Payment Failed,QuickCash,,500,Existing Client-No Loan Granted Ever,5011812,0,0,5.53,0,0,3,14-03-2023,0,0,14-03-2023,2,,3,,0,0,0,3251.9966,0,0,0,0,0,0,1248,3251.9966,3252,3,140.46,3487,0,0,0,0,0,2,3,0,0,0,3818.54,899,600,2319.54,500,640,0,2,0,3
