Id,AccountId,City,State,Country,StageName,Applicant_Type__c,income_as_a_of_DP200_income__c,Deposit_spent_on_DOD__c,Monthly_ongoing_financial_commitments__c,DP_Primary_income_frequency__c,DP_enders_with_uncleared_dishonours_233__c,Primary_regular_benefit_frequency__c,Largest_income_source_day_of_week__c,Frequency_for_largest_income_source__c,Total_monthly_income_ongoin_Reg_231__c,DP_Dishonours_Across_Primary_Acct_244__c,DP_No_Direct_Debits_On_Primary_Acct_355__c,Amount_of_SACC_commitments_due__c,Largest_income_Src_Avg_freq__c,Largest_income_Src_last_payment_amt__c,agency_collection_providers__c,income_DP200_spend_on_high_risk_merch__c,most_recent_loan_has_no_repayments__c,Income_source_is_other_income_549__c,Summary_Income__c,Summary_Expenses__c,Rent_Mortgage__c,Loan_Amount__c,Total_Repayment_Amount__c,Total_Repayments__c,Term_in_Weeks__c,Payment_Frequency__c,Applicant_Age__c,Summary_Income_CV__c,Amount_Requested__c,Employment_Status__c,Dishonours_203__c,DP_Insolvency_Indicator__c,DP_Days_in_Overdrawn_For_Period__c,Dishonours_For_Last_30_Days_DP907__c,Salary_Gov_Allowances_all_types_2117__c,DP_Monthly_avg_of_SACC_repayments__c,DP_Avg_Monthly_Loan_Liability_269__c,Repayment_Amount__c,Opportunity_Origin__c,Current_Balance__c,Opp_Number__c,loan_dishonours__c,CloseDate,Bank_Report_Gov_Benefit__c,Purpose_of_Loan__c,Loan_apply_date,DE_Results,DP_Total_Monthly_Benefit_Income__c,Total_monthly_credits__c,Summary_Income_BS__c
0062x00000EbhUoAAJ,0010K0000274jiaQAA,Quakers Hill,NSW,Australia,Loan Paid,Existing Client-Granted Loan Before,0.0,96.4,6907.8129,2.0,3.0,0.0,3.0,2.0,7622.8499,18.0,49.0,3192.6496,2352.2566,2547.07,1.0,0.0,0.0,0.0,3809.0,899.0,800.0,3500,4446.33,15.0,29.0,Fortnightly,57.0,7627.85,5000.0,Full-Time Employment,18.0,0.0,0.0659,12.0,4704.5133,3718.0,6723.9466,296.43,Financier-2,0.0,6306766,9.0,24-08-2023,False,Relocation Expenses,2023-08-23,Orange,0.0,7233.0,7627.85
0062x00000EOJilAAH,0012x000003EmAoAAK,Kanahooka,NSW,Australia,Loan Paid,Existing Client-Granted Loan Before,0.13,80.93,5163.1626,1.0,0.0,0.0,2.0,1.0,12576.8981,0.0,28.0,857.0724,2231.0578,2280.23,0.0,0.0,0.0,0.0,0.0,899.0,1400.0,3500,4191.43,16.0,15.714,Weekly,34.0,14876.9,3500.0,Full-Time Employment,0.0,0.0,0.011,0.0,10411.6033,2501.0,7104.4566,261.97,MoneySpot,0.0,6249209,0.0,18-08-2023,False,Travel Expenses,2023-08-17,Green,25.0,19125.0,14876.9
0062x00000GECufAAH,0012x00000ckopDAAQ,Stirling North,SA,Australia,Closed Lost,Existing Client-Granted Loan Before,49.13,96.88,1873.0733,2.0,0.0,2.0,4.0,2.0,7162.6641,0.0,15.0,0.0,1652.6,1548.6,0.0,0.0,0.0,0.0,8666.67,899.0,410.0,3500,4152.12,7.0,13.143,Fortnightly,46.0,7660.71,3500.0,Unemployed,0.0,0.0,0.2527,0.0,6870.2566,1040.0,2500.17,593.16,MoneySpot,,8453544,0.0,2024-03-14,False,Vehicle Expenses,2024-03-13,Orange,3565.0,7256.0,7660.71
0062x00000GBjODAA1,0012x00000TsTsqAAF,Mernda,VIC,Australia,Closed Lost,Existing Client-No Loan Granted Ever,0.0,98.28,0.0,4.0,0.0,0.0,1.0,4.0,2562.0,0.0,0.0,0.0,141.551,200.0,0.0,2.95,0.0,1.0,1175.75,899.0,0.0,3500,4099.73,5.0,9.714,Fortnightly,25.0,5501.33,3500.0,Unemployed,4.0,0.0,0.0879,0.0,1710.7133,0.0,0.0,819.95,Financier-2,,8708271,0.0,2024-04-03,False,Veterinary Expenses,2024-04-03,Orange,0.0,10507.0,5501.33
0062x00000DrFaoAAF,0012800001b1zl5AAA,Bendigo,VIC,Australia,Loan Paid,Existing Client-Granted Loan Before,16.17,86.53,4090.4598,2.0,0.0,4.0,3.0,2.0,5439.9456,0.0,20.0,0.0,1696.2183,1651.16,0.0,0.0,0.0,0.0,2795.0,1499.0,680.0,3450,4124.07,8.0,14.857,Fortnightly,33.0,5444.95,4000.0,Part-Time Employment,12.0,0.0,0.033,7.0,4344.5266,0.0,5671.4433,515.51,MoneySpot,0.0,5154499,0.0,28-04-2023,False,Vehicle Expenses,2023-04-28,Green,995.0,6150.0,5444.95
0062x00000EOAbiAAH,0012x000003FBUFAA4,Brassall,QLD,Australia,Loan Paid,Existing Client-Granted Loan Before,0.21,96.97,4364.0832,3.0,0.0,0.0,1.0,3.0,8689.055,3.0,34.0,1853.7173,4998.9933,4918.51,0.0,2.69,0.0,1.0,4030.0,1499.0,200.0,3500,4366.7,5.0,21.571,Monthly,44.0,8689.06,3500.0,Full-Time Employment,3.0,0.0,0.022,0.0,0.0,2653.0,8120.9533,873.34,Financier-2,0.0,6238078,3.0,17-08-2023,False,Vehicle Expenses,2023-08-16,Orange,50.0,23157.0,8689.06
0062x00000EdMjhAAF,0012x00000iIVu9AAG,Algester,QLD,Australia,Closed Lost,Existing Client-No Loan Granted Ever,0.0,83.14,455.3071,2.0,0.0,0.0,1.0,2.0,4029.4365,5.0,29.0,455.3071,694.7585,883.62,0.0,6.87,0.0,0.0,3380.0,400.0,800.0,3400,3992.07,10.0,10.143,Weekly,41.0,4029.44,3400.0,Full-Time Employment,5.0,0.0,0.044,1.0,1621.1033,454.0,564.06,399.21,MoneySpot,,6417897,2.0,05-09-2023,False,Living Expenses,2023-09-04,Orange,0.0,7483.0,4029.44
0062x00000EzlxBAAR,0012x00000XCeihAAD,Auburn,NSW,Australia,Loan Paid,Existing Client-Granted Loan Before,0.0,95.86,501.7623,2.0,0.0,0.0,4.0,2.0,6373.2654,0.0,33.0,0.0,2361.9416,2296.06,1.0,0.0,0.0,0.0,4064.67,400.0,150.0,3300,4214.69,14.0,27.857,Fortnightly,32.0,6373.27,3300.0,Full-Time Employment,0.0,0.0,0.0,0.0,4723.8833,331.0,1718.84,301.06,QuickCash,0.03,6834310,0.0,14-10-2023,False,Home Maintenance & Repairs,2023-10-14,Orange,0.0,7528.0,6373.27
0062x00000EbABSAA3,0012x00000kaFNEAA2,Sanctuary Point,NSW,Australia,Closed Lost,Existing Client-No Loan Granted Ever,0.0,57.48,950.3733,2.0,0.0,0.0,4.0,2.0,4803.5697,0.0,9.0,0.0,2152.6571,2152.65,1.0,0.0,0.0,0.0,0.0,1500.0,2200.0,3500,4247.74,9.0,17.714,Fortnightly,41.0,4803.57,3500.0,Full-Time Employment,0.0,0.0,0.0,0.0,5022.8666,0.0,1091.1766,471.98,MoneySpot,,6272800,0.0,20-08-2023,False,Living Expenses,2023-08-20,Green,0.0,5595.0,4803.57
0062x00000DGbnwAAD,0012x00000TFJbJAAX,Botanic Ridge,VIC,Australia,Loan Paid,Existing Client-Granted Loan Before,0.0,83.33,3203.0738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3961.33,1499.0,0.0,3500,4196.89,16.0,15.857,Weekly,44.0,26358.22,4500.0,Full-Time Employment,0.0,0.0,0.0659,0.0,0.0,325.0,3647.5266,262.31,MoneySpot,0.09,4731480,0.0,22-02-2023,False,Home Maintenance & Repairs,2023-02-22,Orange,0.0,27833.0,26358.22
