id,StageName,Opportunity_Origin__c,DNB_Scoring_Rate__c,Current_Balance__c,Applicant_Type__c,Opp_number__C,Multiple_Lenders_Hardship__c,income_as_a_of_DP200_income__c,Deposit_spent_on_DOD__c,DP_Monthly_avg_of_SACC_repayments__c,Monthly_ongoing_financial_commitments__c,DP_Primary_income_frequency__c,DP_Primary_income_last_pay_date__c,DP_enders_with_uncleared_dishonours_233__c,Primary_regular_benefit_frequency__c,Last_pay_date_for_largest_inc_src_302__c,Largest_income_source_day_of_week__c,Next_pay_date_for_largest_income_source__c,Frequency_for_largest_income_source__c,Primary_regular_benefit_last_pay_date__c,loan_dishonours__c,Primary_regular_benefit_monthly_amount__c,Courts_and_Fines_transactions__c,Total_monthly_income_ongoin_Reg_231__c,DP_Total_Monthly_Benefit_Income__c,DP_Dishonours_Across_Primary_Acct_244__c,DP_No_Direct_Debits_On_Primary_Acct_355__c,DP_Budget_Management_Services__c,Hardship_Indicator_Gambling__c,DP_Monthly_rent_amount_236__c,Amount_of_SACC_commitments_due__c,Largest_income_Src_Avg_freq__c,Largest_income_Src_last_payment_amt__c,Deposits_since_last_SACC_dishonour__c,SACC_commitments_due_next_month__c,Total_monthly_credits__c,agency_collection_providers__c,Collection_agency_transactions__c,Average_monthly_amount_of_Courts_and_Fin__c,Courts_and_Fines_providers__c,income_DP200_spend_on_high_risk_merch__c,most_recent_loan_has_no_repayments__c,Deposits_since_last_dishonour__c,Income_source_is_other_income_549__c,Bank_Report_Gov_Benefit__c,Income_source_is_a_government_benefit__c,Summary_Income__c,Summary_Expenses__c,Rent_Mortgage__c,Summary_Total__c,Loan_Amount__c,Total_Repayment_Amount__c,Dishonours_203__c,DP_Insolvency_Indicator__c,DP_Days_in_Overdrawn_For_Period__c,Dishonours_For_Last_30_Days_DP907__c,Salary_Gov_Allowances_all_types_2117__c
0062x00000E5I0aAAF,Closed Lost,MoneySpot,,,Existing Client-No Loan Granted Ever,5639636,0,83.87,97.87,0,0,0,,0,2,09-06-2023,5,23-06-2023,2,09-06-2023,0,2090.5253,0,2090.5253,1924,0,0,0,0,0,0,962.215,964,0,0,2294,0,0,0,0,0,0,0,0,1,1,775.67,400,0,375.67,5000,5900.21,0,0,0,0,3231.64
0062x00000EcfFCAAZ,Closed Won-Funded,MoneySpot,,3912.24,Existing Client-Granted Loan Before,6371310,118.88,0.15,83.47,2494,4284.4024,2,23-08-2023,0,0,23-08-2023,3,06-09-2023,2,,0,0,1,8738.1455,14,0,47,0,0.2,0,0,2021.9416,2172.04,6,33.94,8828,2,14,95,1,0.1,0,6,0,0,0,3878.33,899,0,2979.33,5000,5901.88,5,0,0,1,5597.3833
0062x00000A8ad4AAB,Closed Lost,MoneySpot,,,New Client-New Loan,2425719,15.11,0,35.43,0,869.0467,2,09-11-2021,0,0,09-11-2021,2,23-11-2021,2,,0,0,0,7779.6385,0,0,14,0,17.58,0,0,3476.7433,2699.97,6,0,11860,0,0,0,0,11.2,0,6,0,0,,5416.67,400,350,4666.67,5000,5902.74,0,0,0,0,5170.4233
0062x00000DA2tVAAT,Closed Won-Funded,MoneySpot,,358.22,Existing Client-Granted Loan Before,4610218,11.34,0,7.61,52,1263.2667,4,13-01-2023,0,0,13-01-2023,5,,4,,0,0,0,11241.9252,0,0,25,0,3.29,0,0,5497.3316,8612.33,6,0,15830,0,0,0,0,2.29,0,6,0,0,,3894,1499,1000,1395,5000,5902.79,0,0,0,0,8169.3466
0062x00000DVry7AAD,Bad Debt Watch,MoneySpot,,4127.4,Existing Client-Granted Loan Before,5483956,129.63,0,85.55,1243,4643.0126,1,31-05-2023,0,0,31-05-2023,3,07-06-2023,1,,2,0,0,8871.0377,0,4,113,0,0,0,1683.0937,995,995,13,15.01,11215,2,11,0,0,0,0,4,0,0,0,2990,400,1056,1534,5000,5905.58,0,0,0,0,19242.28
0062x00000E5M59AAF,Closed Lost,MoneySpot,,,Existing Client-Granted Loan Before,5646861,84.82,0,65.15,1070,2778.4303,1,15-06-2023,0,0,15-06-2023,4,22-06-2023,1,,0,0,0,5338.7148,0,0,71,1,22.81,0,1363.462,997.0046,1409.15,13,17.83,7647,0,0,0,0,12.92,0,13,1,0,0,3900,899,400,2601,5000,5906.25,0,0,0.7912,0,7434.8833
0062x00000DrQCOAA3,Bad Debt Watch,Financier-2,,3537.6,Existing Client-Granted Loan Before,5167450,86.63,12.56,91.68,1245,3283.9146,1,17-04-2023,1,4,17-04-2023,1,24-04-2023,1,21-04-2023,3,888.2566,0,6498.6328,1125,6,56,0,1.28,0,0,1006.775,981.8,12,0,8956,0,0,0,0,0.63,0,1,0,0,0,2950.95,599,0,2351.95,5000,5909.99,1,0,0.011,0,3970.7966
0062x00000DWGgYAAX,Bad Debt Watch,MoneySpot,,3797.28,Existing Client-Granted Loan Before,4906475,152.43,5.28,54.73,5041,9598.0298,4,17-03-2023,0,2,17-03-2023,5,,4,15-03-2023,2,259.4541,0,7846.2707,516,2,45,0,0.88,0,0,2565.7987,3982.29,1,18.56,9769,2,12,0,0,0.61,0,1,0,0,,2578.33,400,500,1678.33,5000,5910.1,4,0,0.3187,0,0
0062x00000DZU6OAAX,Debt Management,MoneySpot,,3468.29,Existing Client-Granted Loan Before,5095034,77.97,0.14,66.44,1146,3504.0767,2,13-04-2023,0,2,13-04-2023,4,27-04-2023,2,20-04-2023,1,14.3384,11,6341.0689,15,1,36,0,0.36,0,0,2912.03,2788.38,6,0,10324,2,12,183,1,0.22,0,6,0,0,0,4051.62,1499,1080,1472.62,5000,5910.12,2,0,0,2,14271.2833
0062x00000DZU6OAAX,Debt Management,MoneySpot,,3468.29,Existing Client-Granted Loan Before,5095034,77.97,0.14,66.44,1146,3504.0767,2,13-04-2023,0,2,13-04-2023,4,27-04-2023,2,20-04-2023,1,14.3384,11,6341.0689,15,1,36,0,0.36,0,0,2912.03,2788.38,6,0,10324,2,12,183,1,0.22,0,6,0,0,0,4051.62,1499,1080,1472.62,5000,5910.12,22,0,0,0,7596.8333
