id,StageName,Opportunity_Origin__c,DNB_Scoring_Rate__c,Current_Balance__c,Applicant_Type__c,Opp_number__C,Multiple_Lenders_Hardship__c,income_as_a_of_DP200_income__c,Deposit_spent_on_DOD__c,DP_Monthly_avg_of_SACC_repayments__c,Monthly_ongoing_financial_commitments__c,DP_Primary_income_frequency__c,DP_Primary_income_last_pay_date__c,DP_enders_with_uncleared_dishonours_233__c,Primary_regular_benefit_frequency__c,Last_pay_date_for_largest_inc_src_302__c,Largest_income_source_day_of_week__c,Next_pay_date_for_largest_income_source__c,Frequency_for_largest_income_source__c,Primary_regular_benefit_last_pay_date__c,loan_dishonours__c,Primary_regular_benefit_monthly_amount__c,Courts_and_Fines_transactions__c,Total_monthly_income_ongoin_Reg_231__c,DP_Total_Monthly_Benefit_Income__c,DP_Dishonours_Across_Primary_Acct_244__c,DP_No_Direct_Debits_On_Primary_Acct_355__c,DP_Budget_Management_Services__c,Hardship_Indicator_Gambling__c,DP_Monthly_rent_amount_236__c,Amount_of_SACC_commitments_due__c,Largest_income_Src_Avg_freq__c,Largest_income_Src_last_payment_amt__c,Deposits_since_last_SACC_dishonour__c,SACC_commitments_due_next_month__c,Total_monthly_credits__c,agency_collection_providers__c,Collection_agency_transactions__c,Average_monthly_amount_of_Courts_and_Fin__c,Courts_and_Fines_providers__c,income_DP200_spend_on_high_risk_merch__c,most_recent_loan_has_no_repayments__c,Deposits_since_last_dishonour__c,Income_source_is_other_income_549__c,Bank_Report_Gov_Benefit__c,Income_source_is_a_government_benefit__c,Summary_Income__c,Summary_Expenses__c,Rent_Mortgage__c,Summary_Total__c,Loan_Amount__c,Total_Repayment_Amount__c
0062x00000ENqEsAAL,Closed Won-Funded,Financier-2,,2038.02,Existing Client-Granted Loan Before,6208268,55.62,0,21.8,1676,887.53,3,14/08/2023,1,0,14/08/2023,1,,3,,3,0,0,5462,0,1,10,0,19.32,0,0,5462,5285,3,0,12499,0,0,0,0,8.44,0,1,0,0,0,6985,599,600,5786,3500,4300.58
0062x00000E6bZ1AAJ,Closed Won-Funded,MoneySpot,,2742.54,Existing Client-Granted Loan Before,5754535,47.75,0,65.82,840,1756.6899,4,15/06/2023,1,0,15/06/2023,4,,4,,1,0,0,4593.1827,0,1,24,0,0.13,0,836.48,3372.6475,4036.44,4,36.87,5061,1,3,0,0,0.12,0,1,0,0,0,3980,899,700,2381,3500,4308.98
0062x00000DH5GGAA1,Debt Management,QuickCash,,3810.39,Existing Client-Granted Loan Before,4760871,91.96,0,74.97,2291,5192.1084,2,01/02/2023,0,0,01/02/2023,3,15/02/2023,2,,5,0,1,14283.5653,0,2,15,0,4.98,0,2471.802,3370.838,6494.36,5,15.62,13778,0,0,53,1,2.65,0,0,0,0,,1088,1499,350,-761,3500,4312.42
0062x00000EDEAYAA5,Closed Won-Funded,MoneySpot,,1666.89,Existing Client-Granted Loan Before,5929908,57.3,0.07,85.59,5020,5181.8885,2,21/06/2023,0,0,21/06/2023,3,05/07/2023,2,,0,0,0,11963.4571,13,0,56,0,0.01,0,3768.2135,5330.03,5192.23,5,17.21,16322,0,0,0,0,0.01,0,5,0,0,0,9750,1500,1250,7000,3500,4312.75
0062x00000DYxalAAD,Bad Debt Watch,MoneySpot,,3805.81,Existing Client-Granted Loan Before,5062469,2.35,0.05,81.83,0,0,3,17/03/2023,0,0,17/03/2023,5,,3,,0,0,1,23394.8932,13,0,0,0,4.35,0,0,6161.55,6799.71,3,0,24524,0,0,33,1,1.09,0,3,0,0,0,4983.33,1499,750,2734.33,3500,4314.42
0062x00000DUeXvAAL,Bad Debt Watch,MoneySpot,,2000.66,Existing Client-Granted Loan Before,5378413,95.72,0,67.4,1797,2855.6619,1,24/05/2023,0,0,24/05/2023,3,31/05/2023,1,,2,0,0,6847.6101,0,2,34,0,0,0,0,631.4505,663.14,17,9.11,7148,1,7,0,0,0,0,7,1,0,0,2896.78,400,400,2096.78,3500,4315.33
0062x00000DrNoiAAF,Closed Won-Funded,MoneySpot,,2627.72,Existing Client-Granted Loan Before,5162875,35.65,0,75.99,162,1316.9904,2,18/04/2023,0,0,18/04/2023,2,02/05/2023,2,,6,0,0,9287.5648,0,12,20,0,1.54,0,136.0746,2002.745,1996.72,6,1.3,10474,1,2,0,0,0.64,0,6,0,0,0,0,599,290,-889,3500,4317.77
0062x00000EbT8XAAV,Closed Won-Funded,MoneySpot,,2581.45,Existing Client-Granted Loan Before,6292315,56.73,0,68.5,586,1415.0593,1,15/08/2023,0,0,15/08/2023,2,22/08/2023,1,,1,0,8,4631.4287,0,2,47,0,2.01,0,0,709.6616,694.95,12,0,5787,0,0,267,1,1.07,0,8,0,0,0,1672.12,400,50,1222.12,3500,4319.77
0062x00000EC9KeAAL,Closed Won-Funded,MoneySpot,,1505.44,Existing Client-Granted Loan Before,5856721,159.38,6.5,88.3,884,4015.7124,2,04/07/2023,0,2,04/07/2023,2,18/07/2023,2,03/07/2023,8,314.5935,0,4491.789,322,9,53,0,0,0,0,1810.5014,1942.57,5,0,4950,1,8,0,0,0,0,0,0,0,0,3683.33,400,820,2463.33,3500,4322.27
0062x00000EEdNKAA1,Closed Won-Funded,MoneySpot,,1864.75,Existing Client-Granted Loan Before,6026543,97.79,0,56.18,2875,5689.8463,2,25/07/2023,0,0,25/07/2023,2,08/08/2023,2,,1,0,0,6478.0291,0,2,155,0,0.19,0,2031.6738,2833.46,2833.46,7,24.04,9832,0,0,0,0,0.12,0,1,0,0,0,8654.57,1499,100,7055.57,3500,4327.87
