id,StageName,Opportunity_Origin__c,DNB_Scoring_Rate__c,Current_Balance__c,Applicant_Type__c,Opp_number__C,Multiple_Lenders_Hardship__c,income_as_a_of_DP200_income__c,Deposit_spent_on_DOD__c,DP_Monthly_avg_of_SACC_repayments__c,Monthly_ongoing_financial_commitments__c,DP_Primary_income_frequency__c,DP_Primary_income_last_pay_date__c,DP_enders_with_uncleared_dishonours_233__c,Primary_regular_benefit_frequency__c,Last_pay_date_for_largest_inc_src_302__c,Largest_income_source_day_of_week__c,Next_pay_date_for_largest_income_source__c,Frequency_for_largest_income_source__c,Primary_regular_benefit_last_pay_date__c,loan_dishonours__c,Primary_regular_benefit_monthly_amount__c,Courts_and_Fines_transactions__c,Total_monthly_income_ongoin_Reg_231__c,DP_Total_Monthly_Benefit_Income__c,DP_Dishonours_Across_Primary_Acct_244__c,DP_No_Direct_Debits_On_Primary_Acct_355__c,DP_Budget_Management_Services__c,Hardship_Indicator_Gambling__c,DP_Monthly_rent_amount_236__c,Amount_of_SACC_commitments_due__c,Largest_income_Src_Avg_freq__c,Largest_income_Src_last_payment_amt__c,Deposits_since_last_SACC_dishonour__c,SACC_commitments_due_next_month__c,Total_monthly_credits__c,agency_collection_providers__c,Collection_agency_transactions__c,Average_monthly_amount_of_Courts_and_Fin__c,Courts_and_Fines_providers__c,income_DP200_spend_on_high_risk_merch__c,most_recent_loan_has_no_repayments__c,Deposits_since_last_dishonour__c,Income_source_is_other_income_549__c,Bank_Report_Gov_Benefit__c,Income_source_is_a_government_benefit__c,Summary_Income__c,Summary_Expenses__c,Rent_Mortgage__c,Summary_Total__c,Loan_Amount__c,Total_Repayment_Amount__c
0062x00000EcVmcAAF,Closed Lost,MoneySpot,,,Existing Client-Granted Loan Before,6361438,6.87,0,63.95,220,314.54,3,14/08/2023,0,0,14/08/2023,1,,3,,0,0,0,4771.1732,0,1,13,0,5.83,0,320,4580.1766,4590.51,3,12.85,4826,1,4,0,0,5.53,1,3,0,0,0,4500,400,1600,2500,1000,1200
0062x000009SY0DAAW,Closed Lost,QuickCash,,,Existing Client-No Loan Granted Ever,2126373,66.76,59.77,33.32,755,721.6913,4,17/08/2021,4,4,17/08/2021,2,,4,17/08/2021,9,3641.5866,0,4762.0832,3860,11,93,0,0.47,0,2350.5081,606.9311,706.1,1,36.4,6458,3,24,0,0,0.26,0,1,0,1,,0,2000,600,-2600,1000,1200
0062x00000EcpiFAAR,Closed Lost,MoneySpot,,,Existing Client-Granted Loan Before,6381763,0,0,68,573,766.3378,0,,0,0,,0,,0,,0,0,1,470,0,0,17,0,0,0,0,0,0,0,17.45,3844,2,5,36,1,35.82,0,0,0,0,0,8666.67,599,150,7917.67,1000,1200
0062x00000DI4A9AAL,Bad Debt Written Off,QuickCash,,0,Existing Client-Granted Loan Before,4815038,44.49,0,90.78,381,323.6083,1,28/02/2023,0,0,28/02/2023,2,07/03/2023,1,,10,0,4,2771.3323,0,15,43,0,0,0,0,570.9783,673.36,7,0,2746,0,0,42,1,0,0,1,0,0,,1663.29,400,800,463.29,1000,1240
0062x000009SYZSAA4,Closed Lost,Financier-2,,,Existing Client-No Loan Granted Ever,2126659,4.7,28.62,90.02,0,0,4,16/08/2021,0,4,06/08/2021,5,,4,06/08/2021,4,955.1033,0,2089.8744,1183,0,0,0,160.4,0,0,573.062,684.97,33,0,4133,2,7,0,0,37.07,0,33,0,1,,1300,400,200,700,1000,1240
0062x000009SfZ3AAK,Closed Lost,QuickCash,,,Existing Client-No Loan Granted Ever,2129911,1.3,70.78,94.21,20,0,4,16/08/2021,1,4,08/08/2021,7,,4,08/08/2021,3,1543.34,0,1862.6566,1713,3,3,0,24.95,0,0,578.7525,632.82,17,0,2420,0,0,0,0,15.91,0,17,0,1,,0,2000,400,-2400,1000,1240
0062x000009TxwFAAS,Closed Lost,QuickCash,,,Existing Client-No Loan Granted Ever,2167789,76.25,61.91,78.75,230,0,1,30/08/2021,0,4,19/08/2021,4,,4,19/08/2021,0,1199.1,0,2818.7632,2437,0,1,0,0,0,0,513.9,484.8,14,0,3936,0,0,0,0,0,0,14,0,1,,0,599,540,-1139,1000,1240
0062x00000DHpBCAA1,Debt Management,QuickCash,,984.08,Existing Client-Granted Loan Before,4800485,157.09,0,58.47,565,805.1226,4,27/02/2023,1,0,27/02/2023,1,,4,,1,0,0,893.3332,0,2,32,0,0,0,976.7473,238.3333,300,1,2.6,8032,0,0,0,0,0,0,0,1,0,,0,899,980,-1879,1000,1240
0062x00000EcUaVAAV,Closed Lost,QuickCash,LARGELY COMPLIANT,,New Client-New Loan,6360462,19.48,0,94.81,0,235.3333,2,18/08/2023,0,0,18/08/2023,5,01/09/2023,2,,0,0,5,4703.623,0,20,8,0,3.06,0,0,1728.13,1746.09,6,0,8437,1,2,133,2,1.36,0,0,0,0,0,0,0,0,0,1000,1280
0062x00000EcVfCAAV,Closed Lost,QuickCash,,,New Client-New Loan,6361337,38.1,0,40.57,0,0,4,24/08/2023,0,0,24/08/2023,4,,4,,0,0,1,1159.5466,0,6,9,0,0,0,0,574.154,130,5,0,1996,0,0,67,1,0,0,1,1,0,0,0,0,0,0,1000,1280
