id,StageName,Opportunity_Origin__c,DNB_Scoring_Rate__c,Current_Balance__c,Applicant_Type__c,Opp_number__C,Multiple_Lenders_Hardship__c,income_as_a_of_DP200_income__c,Deposit_spent_on_DOD__c,DP_Monthly_avg_of_SACC_repayments__c,Monthly_ongoing_financial_commitments__c,DP_Primary_income_frequency__c,DP_Primary_income_last_pay_date__c,DP_enders_with_uncleared_dishonours_233__c,Primary_regular_benefit_frequency__c,Last_pay_date_for_largest_inc_src_302__c,Largest_income_source_day_of_week__c,Next_pay_date_for_largest_income_source__c,Frequency_for_largest_income_source__c,Primary_regular_benefit_last_pay_date__c,loan_dishonours__c,Primary_regular_benefit_monthly_amount__c,Courts_and_Fines_transactions__c,Total_monthly_income_ongoin_Reg_231__c,DP_Total_Monthly_Benefit_Income__c,DP_Dishonours_Across_Primary_Acct_244__c,DP_No_Direct_Debits_On_Primary_Acct_355__c,DP_Budget_Management_Services__c,Hardship_Indicator_Gambling__c,DP_Monthly_rent_amount_236__c,Amount_of_SACC_commitments_due__c,Largest_income_Src_Avg_freq__c,Largest_income_Src_last_payment_amt__c,Deposits_since_last_SACC_dishonour__c,SACC_commitments_due_next_month__c,Total_monthly_credits__c,agency_collection_providers__c,Collection_agency_transactions__c,Average_monthly_amount_of_Courts_and_Fin__c,Courts_and_Fines_providers__c,income_DP200_spend_on_high_risk_merch__c,most_recent_loan_has_no_repayments__c,Deposits_since_last_dishonour__c,Income_source_is_other_income_549__c,Bank_Report_Gov_Benefit__c,Income_source_is_a_government_benefit__c,Summary_Income__c,Summary_Expenses__c,Rent_Mortgage__c,Summary_Total__c,Loan_Amount__c,Total_Repayment_Amount__c
0062x00000DGLCmAAP,Loan Paid,MoneySpot,,0,Existing Client-Granted Loan Before,4718285,97.24,0,67.53,1303,3162.5935,1,15/02/2023,0,0,15/02/2023,3,22/02/2023,1,,0,0,0,8784.8135,0,0,40,0,0,0,777.1289,1201.6363,1263,11,15.03,10785,0,0,0,0,0,0,11,1,0,,8397.91,599,1900,5898.91,2500,3150.81
0062x00000D9fMLAAZ,Loan Paid,MoneySpot,,0,Existing Client-Granted Loan Before,4593290,67.5,0,66.83,0,5258.7751,4,20/01/2023,0,0,20/01/2023,5,,4,,0,0,0,7622.92,0,1,52,0,0.07,0,0,3251.9657,2127.2,7,0,9394,1,6,0,0,0.05,0,6,0,0,,3500,1499,1360,641,2500,3150.84
0062x00000D9fMLAAZ,Loan Paid,MoneySpot,,0,Existing Client-Granted Loan Before,4593290,67.5,0,66.83,0,5258.7751,4,20/01/2023,0,0,20/01/2023,5,,4,,0,0,0,7622.92,0,1,52,0,0.07,0,0,3251.9657,2127.2,7,0,9394,1,6,0,0,0.05,0,6,0,0,,3500,1499,1360,641,2500,3150.84
0062x00000ECL2DAAX,Loan Paid,MoneySpot,,0,Existing Client-Granted Loan Before,5873218,83.45,0,73.24,2410,2385.7544,2,14/06/2023,0,0,14/06/2023,3,28/06/2023,2,,0,0,4,6261.8192,0,0,42,0,1.66,0,366.6666,2469.54,2469.54,5,16.23,7420,2,8,65,1,1.2,0,5,0,0,0,4251,400,1240,2611,2500,3150.9
0062x00000ECL2DAAX,Loan Paid,MoneySpot,,0,Existing Client-Granted Loan Before,5873218,83.45,0,73.24,2410,2385.7544,2,14/06/2023,0,0,14/06/2023,3,28/06/2023,2,,0,0,4,6261.8192,0,0,42,0,1.66,0,366.6666,2469.54,2469.54,5,16.23,7420,2,8,65,1,1.2,0,5,0,0,0,4251,400,1240,2611,2500,3150.9
0062x00000C9ymxAAB,Loan Paid,MoneySpot,,0,Existing Client-Granted Loan Before,3809816,26.29,0,78.81,730,1512.466,2,14/09/2022,0,0,14/09/2022,3,28/09/2022,2,,0,0,0,7130.8875,0,0,15,0,0.43,0,0,2433.724,2353.24,5,0,8676,0,0,0,0,0.27,0,5,0,0,,4854.25,899,1000,2955.25,2500,3150.92
0062x00000C9ymxAAB,Loan Paid,MoneySpot,,0,Existing Client-Granted Loan Before,3809816,26.29,0,78.81,730,1512.466,2,14/09/2022,0,0,14/09/2022,3,28/09/2022,2,,0,0,0,7130.8875,0,0,15,0,0.43,0,0,2433.724,2353.24,5,0,8676,0,0,0,0,0.27,0,5,0,0,,4854.25,899,1000,2955.25,2500,3150.92
0062x00000AYouYAAT,Loan Paid,MoneySpot,,0,Existing Client-Granted Loan Before,3297105,56.91,0,51.74,1496,1985.7963,4,27/06/2022,2,0,27/06/2022,1,,4,,6,0,0,6375.53,0,6,44,0,1.65,0,518.5388,2599.5128,3978.83,2,6,8644,0,0,0,0,1.16,0,2,0,0,,2600,2000,1400,-800,2500,3150.94
0062x00000AYn2kAAD,Loan Paid,MoneySpot,,0,Existing Client-Granted Loan Before,3296086,40.65,6.37,86.27,551,928.1999,2,29/06/2022,0,0,29/06/2022,3,13/07/2022,2,,0,0,0,2456.1701,250,0,18,0,51.01,0,717.5943,1130.5116,1089.51,6,18.31,3919,0,0,0,0,31.97,0,6,0,0,,0,400,400,-800,2500,3150.94
0062x00000AYouYAAT,Loan Paid,MoneySpot,,0,Existing Client-Granted Loan Before,3297105,56.91,0,51.74,1496,1985.7963,4,27/06/2022,2,0,27/06/2022,1,,4,,6,0,0,6375.53,0,6,44,0,1.65,0,518.5388,2599.5128,3978.83,2,6,8644,0,0,0,0,1.16,0,2,0,0,,2600,2000,1400,-800,2500,3150.94
