id,StageName,Opportunity_Origin__c,DNB_Scoring_Rate__c,Current_Balance__c,Applicant_Type__c,Opp_number__C,Multiple_Lenders_Hardship__c,income_as_a_of_DP200_income__c,Deposit_spent_on_DOD__c,DP_Monthly_avg_of_SACC_repayments__c,Monthly_ongoing_financial_commitments__c,DP_Primary_income_frequency__c,DP_Primary_income_last_pay_date__c,DP_enders_with_uncleared_dishonours_233__c,Primary_regular_benefit_frequency__c,Last_pay_date_for_largest_inc_src_302__c,Largest_income_source_day_of_week__c,Next_pay_date_for_largest_income_source__c,Frequency_for_largest_income_source__c,Primary_regular_benefit_last_pay_date__c,loan_dishonours__c,Primary_regular_benefit_monthly_amount__c,Courts_and_Fines_transactions__c,Total_monthly_income_ongoin_Reg_231__c,DP_Total_Monthly_Benefit_Income__c,DP_Dishonours_Across_Primary_Acct_244__c,DP_No_Direct_Debits_On_Primary_Acct_355__c,DP_Budget_Management_Services__c,Hardship_Indicator_Gambling__c,DP_Monthly_rent_amount_236__c,Amount_of_SACC_commitments_due__c,Largest_income_Src_Avg_freq__c,Largest_income_Src_last_payment_amt__c,Deposits_since_last_SACC_dishonour__c,SACC_commitments_due_next_month__c,Total_monthly_credits__c,agency_collection_providers__c,Collection_agency_transactions__c,Average_monthly_amount_of_Courts_and_Fin__c,Courts_and_Fines_providers__c,income_DP200_spend_on_high_risk_merch__c,most_recent_loan_has_no_repayments__c,Deposits_since_last_dishonour__c,Income_source_is_other_income_549__c,Bank_Report_Gov_Benefit__c,Income_source_is_a_government_benefit__c,Summary_Income__c,Summary_Expenses__c,Rent_Mortgage__c,Summary_Total__c,Loan_Amount__c,Total_Repayment_Amount__c
0062x00000739qmAAA,Loan Paid,MoneySpot,,0,Existing Client-Granted Loan Before,1433855,60.24,0.22,36.73,2535,2384.7372,3,14/12/2020,0,0,14/12/2020,1,,3,,0,0,0,9844.0265,39,1,41,0,3.64,0,2852.3098,8230.6933,8285.57,3,16.59,17191,0,0,0,0,1.75,0,3,0,0,,0,1499,2000,-3499,4500,5339.8
0062x00000739qmAAA,Loan Paid,MoneySpot,,0,Existing Client-Granted Loan Before,1433855,60.24,0.22,36.73,2535,2384.7372,3,14/12/2020,0,0,14/12/2020,1,,3,,0,0,0,9844.0265,39,1,41,0,3.64,0,2852.3098,8230.6933,8285.57,3,16.59,17191,0,0,0,0,1.75,0,3,0,0,,0,1499,2000,-3499,4500,5339.8
0062x00000E49ySAAR,Closed Lost,MoneySpot,,,Existing Client-Granted Loan Before,5543999,101.41,0,95,2090,2779.3878,1,05/06/2023,0,0,05/06/2023,1,12/06/2023,1,,0,0,0,3987.7107,0,0,42,0,15.71,0,281.05,818.6923,523,13,7.04,3991,0,0,0,0,14.01,0,13,0,0,0,3466.67,899,668,1899.67,4500,5359.21
0062x000002ZqozAAC,Loan Paid,MoneySpot,,0,Existing Client-Granted Loan Before,819743,24.09,0.19,26.89,2248,1784.71,3,14/02/2020,0,0,14/02/2020,5,,3,,1,0,0,9508.8333,25,1,4,0,0.34,0,797.12,9333.5,9333.5,2,2.24,12752,0,0,0,0,0.25,0,2,,0,,19391.67,899,2411,16081.67,4500,5374.96
0062x000002ZqozAAC,Loan Paid,MoneySpot,,0,Existing Client-Granted Loan Before,819743,24.09,0.19,26.89,2248,1784.71,3,14/02/2020,0,0,14/02/2020,5,,3,,1,0,0,9508.8333,25,1,4,0,0.34,0,797.12,9333.5,9333.5,2,2.24,12752,0,0,0,0,0.25,0,2,,0,,19391.67,899,2411,16081.67,4500,5374.96
0062x00000DGkBRAA1,Bad Debt Watch,MoneySpot,,618.02,Existing Client-Granted Loan Before,4739903,59.55,0,64.76,4225,4679.763,2,21/02/2023,0,0,21/02/2023,2,07/03/2023,2,,6,0,7,8791.7032,0,1,17,0,62,0,4124.8134,4046.5925,3643.6,4,56.96,7242,0,0,117,1,75.27,0,4,0,0,,6855.33,899,720,5236.33,4500,5390.67
0062x00000DViGDAA1,Closed Lost,MoneySpot,,,Existing Client-Granted Loan Before,5467611,55.6,0,84.23,1651,1533.7437,1,29/05/2023,0,0,29/05/2023,1,05/06/2023,1,,0,0,0,3443.6101,0,0,46,0,0.6,0,729.68,872.4018,875.6,11,19.22,3796,0,0,0,0,0.53,0,11,0,0,0,784,599,580,-395,4500,5403.71
0062x00000E5ArBAAV,Closed Lost,MoneySpot,,,Existing Client-Granted Loan Before,5628841,87.85,0,98.94,2194,2899.0624,4,06/06/2023,0,0,06/06/2023,2,,4,,0,0,0,9853.6713,0,0,41,0,0.64,0,386.8565,2807.0711,6441,9,10.49,14053,1,4,0,0,0.38,0,9,0,0,0,3644.33,1499,1800,345.33,4500,5442.75
0062x00000Ed1PFAAZ,Closed Won-Funded,MoneySpot,,5014,Existing Client-Granted Loan Before,6392400,69.25,0,47.28,2790,3392.2202,2,31/08/2023,0,0,31/08/2023,4,14/09/2023,2,,0,0,0,7882.8039,0,10,31,0,0,0,1416.25,2949.71,3327.73,7,21.83,8765,1,2,0,0,0,0,1,0,0,0,5689.34,899,600,4190.34,4500,5443.99
0062x00000E4ktHAAR,Bad Debt Watch,MoneySpot,,1081.02,Existing Client-Granted Loan Before,5595257,32.19,0,74.59,845,1572.1605,1,13/06/2023,3,0,13/06/2023,2,20/06/2023,1,,5,0,0,6635.3514,0,6,48,0,2.51,0,0,1089.61,1089.61,2,11.1,8266,1,15,0,0,1.44,0,1,0,0,0,1100,599,950,-449,4500,5474.88
0062x00000DXHvNAAX,Bad Debt Watch,MoneySpot,,1695.79,Existing Client-Granted Loan Before,4964234,176.07,0,66.62,2427,3770.1941,2,29/03/2023,0,0,29/03/2023,3,12/04/2023,2,,2,0,0,6445.0637,0,2,63,0,0,0,1641.8389,1984.0628,1990.7,7,22.91,11338,1,7,0,0,0,0,7,0,0,0,2166.67,400,0,1766.67,4500,5491.92
0062x00000EcgqiAAB,Closed Won-Funded,MoneySpot,,4487.92,Existing Client-Granted Loan Before,6372435,102.49,0,85.95,1732,2955.0139,2,16/08/2023,0,0,16/08/2023,3,30/08/2023,2,,4,0,0,3692.5722,0,8,53,0,0,0,264.7336,1254.31,1254.31,4,39.23,3515,1,6,0,0,0,0,2,0,0,0,4439.5,599,450,3390.5,4500,5790.81
