id,StageName,Opportunity_Origin__c,DNB_Scoring_Rate__c,Current_Balance__c,Applicant_Type__c,Opp_number__C,Multiple_Lenders_Hardship__c,income_as_a_of_DP200_income__c,Deposit_spent_on_DOD__c,DP_Monthly_avg_of_SACC_repayments__c,Monthly_ongoing_financial_commitments__c,DP_Primary_income_frequency__c,DP_Primary_income_last_pay_date__c,DP_enders_with_uncleared_dishonours_233__c,Primary_regular_benefit_frequency__c,Last_pay_date_for_largest_inc_src_302__c,Largest_income_source_day_of_week__c,Next_pay_date_for_largest_income_source__c,Frequency_for_largest_income_source__c,Primary_regular_benefit_last_pay_date__c,loan_dishonours__c,Primary_regular_benefit_monthly_amount__c,Courts_and_Fines_transactions__c,Total_monthly_income_ongoin_Reg_231__c,DP_Total_Monthly_Benefit_Income__c,DP_Dishonours_Across_Primary_Acct_244__c,DP_No_Direct_Debits_On_Primary_Acct_355__c,DP_Budget_Management_Services__c,Hardship_Indicator_Gambling__c,DP_Monthly_rent_amount_236__c,Amount_of_SACC_commitments_due__c,Largest_income_Src_Avg_freq__c,Largest_income_Src_last_payment_amt__c,Deposits_since_last_SACC_dishonour__c,SACC_commitments_due_next_month__c,Total_monthly_credits__c,agency_collection_providers__c,Collection_agency_transactions__c,Average_monthly_amount_of_Courts_and_Fin__c,Courts_and_Fines_providers__c,income_DP200_spend_on_high_risk_merch__c,most_recent_loan_has_no_repayments__c,Deposits_since_last_dishonour__c,Income_source_is_other_income_549__c,Bank_Report_Gov_Benefit__c,Income_source_is_a_government_benefit__c,Summary_Income__c,Summary_Expenses__c,Rent_Mortgage__c,Summary_Total__c,Loan_Amount__c,Total_Repayment_Amount__c
0062x0000074A9fAAE,Loan Paid,MoneySpot,,0,Existing Client-Granted Loan Before,1473465,36.16,10.29,50.34,1272,1207.6011,2,06/01/2021,0,2,06/01/2021,3,20/01/2021,2,04/01/2021,0,219.7044,0,3917.5833,514,2,7,0,0.17,0,1152.9732,1618.6642,1667.09,7,23.09,4993,0,0,0,0,0.12,0,2,0,0,,3185,599,1340,1246,3000,3707.83
0062x0000074A9fAAE,Loan Paid,MoneySpot,,0,Existing Client-Granted Loan Before,1473465,36.16,10.29,50.34,1272,1207.6011,2,06/01/2021,0,2,06/01/2021,3,20/01/2021,2,04/01/2021,0,219.7044,0,3917.5833,514,2,7,0,0.17,0,1152.9732,1618.6642,1667.09,7,23.09,4993,0,0,0,0,0.12,0,2,0,0,,3185,599,1340,1246,3000,3707.83
0062x00000DGL3RAAX,Debt Management,QuickCash,,1913.51,Existing Client-Granted Loan Before,4718124,0,0,87.3,2503,3225.4033,0,,1,0,,0,,0,,7,0,0,0,0,4,17,0,0,0,1473.4161,0,0,0,41.4,5168,0,0,0,0,0,0,0,0,0,,4476.83,599,100,3777.83,3000,3708.37
0062x0000072vEqAAI,Loan Paid,MoneySpot,,0,Existing Client-Granted Loan Before,1423677,104.69,0.09,64.56,4046,0,4,21/12/2020,0,0,21/12/2020,1,,4,,1,0,0,4754,13,2,30,0,1.28,0,4199.9695,891.375,1000,13,38.15,14286,0,0,0,0,0.43,0,8,1,0,,0,1500,1400,-2900,3000,3708.49
0062x0000072vEqAAI,Loan Paid,MoneySpot,,0,Existing Client-Granted Loan Before,1423677,104.69,0.09,64.56,4046,0,4,21/12/2020,0,0,21/12/2020,1,,4,,1,0,0,4754,13,2,30,0,1.28,0,4199.9695,891.375,1000,13,38.15,14286,0,0,0,0,0.43,0,8,1,0,,0,1500,1400,-2900,3000,3708.49
0062x00000DWNGXAA5,Bad Debt Watch,MoneySpot,,2309.17,Existing Client-Granted Loan Before,4912328,82,0,53.78,3304,6615.26,3,14/03/2023,0,0,14/03/2023,2,,3,,3,0,1,12598.8366,0,3,27,0,1.5,0,3607.9062,8750.92,8750.92,3,24.82,14537,1,3,17,1,0.9,0,1,0,0,,0,1500,1700,-3200,3000,3710.69
0062x00000DsWhyAAF,Bad Debt Watch,MoneySpot,,2530.72,Existing Client-Granted Loan Before,5245768,41.68,15.71,16.86,1592,1990.8989,2,03/05/2023,0,2,03/05/2023,3,17/05/2023,2,08/05/2023,0,430.0916,0,5037.6538,855,2,52,0,0,0,982.9,1952.4616,1952.47,6,18.07,5439,1,8,0,0,0,0,6,0,0,0,4008.33,1499,1240,1269.33,3000,3711.61
0062x00000D8MojAAF,Bad Debt Watch,MoneySpot,,1365.3,Existing Client-Granted Loan Before,4529606,102.81,0,38.22,2032,896.3266,3,13/01/2023,4,0,13/01/2023,5,,3,,12,0,0,4439.8766,0,18,71,0,0.38,0,6083.327,4439.8766,4691.41,1,121.91,4990,0,0,0,0,0.34,0,1,0,0,,4000,400,200,3400,3000,3711.98
0062x00000DtAEKAA3,Bad Debt Watch,MoneySpot,,138.08,Existing Client-Granted Loan Before,5292839,67.6,0,69.12,923,2487.0866,1,16/05/2023,0,0,16/05/2023,2,23/05/2023,1,,4,0,0,4528.2234,0,5,41,0,0,0,0,798.0476,820.84,2,0,4529,1,12,0,0,0,0,2,0,0,0,3466.67,400,200,2866.67,3000,3712.14
0062x00000DrHjmAAF,Bad Debt Watch,Financier-2,,2153.57,Existing Client-Granted Loan Before,5155985,44.08,0,94.01,825,2360.7014,2,21/04/2023,1,0,21/04/2023,5,05/05/2023,2,,1,0,0,20333.466,0,0,1,0,0,0,1919.2858,3735.95,5921.85,3,4.64,64684,0,0,0,0,0,0,3,0,0,0,2166.67,400,200,1566.67,3000,3716.07
0062x00000DXtTuAAL,Debt Management,Financier-2,,2823.03,Existing Client-Granted Loan Before,5001103,306.6,0.12,95.59,6457,15543.6384,2,29/03/2023,1,0,29/03/2023,3,12/04/2023,2,,1,0,0,6752.8745,13,2,46,1,5.27,0,320,2732.2833,2717.04,6,7.76,10185,0,0,0,0,3.07,0,1,0,0,0,758.33,899,0,-140.67,3000,3716.15
0062x00000DIMCGAA5,Bad Debt Watch,MoneySpot,,1597.93,Existing Client-Granted Loan Before,4829027,51.45,8.1,68.59,3766,2559.5018,1,28/02/2023,0,0,28/02/2023,2,07/03/2023,1,,7,0,0,22292.315,1326,6,35,0,0.21,0,1206.5277,3333.3333,5000,3,7.37,16369,1,4,0,0,0.18,0,3,1,0,,6942.74,899,2000,4043.74,3000,3716.33
0062x000007Yv59AAC,Loan Paid,MoneySpot,,0,Existing Client-Granted Loan Before,1525559,59.5,0,61.8,961,1676.3799,2,27/01/2021,0,0,27/01/2021,4,10/02/2021,2,,0,0,0,6639.4046,0,1,55,0,0.16,0,128,2002,2002,7,7.77,12299,1,1,0,0,0.06,0,1,0,0,,4168.67,599,440,3129.67,3000,3717.21
0062x000007Yv59AAC,Loan Paid,MoneySpot,,0,Existing Client-Granted Loan Before,1525559,59.5,0,61.8,961,1676.3799,2,27/01/2021,0,0,27/01/2021,4,10/02/2021,2,,0,0,0,6639.4046,0,1,55,0,0.16,0,128,2002,2002,7,7.77,12299,1,1,0,0,0.06,0,1,0,0,,4168.67,599,440,3129.67,3000,3717.21
